TITULO_ORIGINAL;PRODUTORA_BRASILEIRA;UF_PRODUTORA_BRASILEIRA;PRODUTORA_ESTRANGEIRA;PAIS_PRODUTORA_ESTRANGEIRA;TIPO_OBRA;TOTAL_TECNCIOS_ESTRANGEIROS;PERIODO_PRODUCAO;LOCAL_FILMAGEM ;DT_APROVACAO
In Deep with Jeremy Wade;Dez e Vinte Produções Cinematográficas;SP;Icon Films;Reino Unido;Documentário;1;19/03/2020 a 18/04/2020;São Paulo, Cuiabá, Brigadeiro Camarnao, Vilhena e Alta Floresta (SP, MT);Previsto para 06/03/2020
In Deep with Jeremy Wade;Dez e Vinte Produções Cinematográficas;SP;Icon Films;Reino Unido;Documentário;1;19/03/2020 a 18/04/2020;São Paulo, Cuiabá, Brigadeiro Camarnao, Vilhena e Alta Floresta (SP, MT);Previsto para 06/03/2020
In Deep with Jeremy Wade;Dez e Vinte Produções Cinematográficas;SP;Icon Films;Reino Unido;Documentário;6;19/03/2020 a 18/04/2020;São Paulo, Cuiabá, Brigadeiro Camarnao, Vilhena e Alta Floresta (SP, MT);Previsto para 06/03/2020
Cummins Global Service and Support;Viva Filmes Ltda;RJ;Heart and Soul TV &Film Ltd;Reino Unido;Institucional;3;09/03/2020 a 15/03/2020;Rio de Janeiro (RJ) e São Paulo (SP);Previsto para 06/03/2020
Simon Reeve South America;Viva Filmes Ltda;RJ;The Garden;Reino Unido;Documentário;4;26/02/2020 a 12/03/2020;Boa Vista, Paracaima, Oiapoque e Macapá (RR, AP);Previsto para 09/03/2020
Child Health;Terra Vermelha Filmes Ltda;RJ;Vantullekenbrothers TV;Reino Unido;Documentário;4;08/03/2020 a 23/03/2020;São Paulo, Belém, Soure, Salvaterra e Muaná (SP, PA);Previsto para 10/03/2020
Quer Jogar Comigo;Xes Projetos Visuais Ltda;SP;Eight Pictures Inc;Japão;Obra Publicitária;3;06/03/2020 a 12/03/2020;Rio de Janeiro (RJ);28/02/2020
Visa Rio;Utopia Filmes Produção Artistica LTDA;RJ;Connected Pictures;Reino Unido;Institucional;1;15/03/2020 a 19/03/2020;Rio de Janeiro (RJ);09/03/2020
Visa Rio;Utopia Filmes Produção Artistica LTDA;RJ;Connected Pictures;Reino Unido;Institucional;1;15/03/2020 a 19/03/2020;Rio de Janeiro (RJ);09/03/2020
All eyes on me;Stink SP Produção de Filmes Ltda;SP;Stink Berlin;Alemanha;Obra Publicitária;1;16/03/2020 a 21/03/2020;São Paulo (SP);09/03/2020
All eyes on me;Stink SP Produção de Filmes Ltda;SP;Stink Berlin;Alemanha;Obra Publicitária;1;16/03/2020 a 21/03/2020;São Paulo (SP);09/03/2020
All eyes on me;Stink SP Produção de Filmes Ltda;SP;Stink Berlin;Alemanha;Obra Publicitária;1;16/03/2020 a 21/03/2020;São Paulo (SP);09/03/2020
All eyes on me;Stink SP Produção de Filmes Ltda;SP;Stink Berlin;Alemanha;Obra Publicitária;1;16/03/2020 a 21/03/2020;São Paulo (SP);09/03/2020
VERMILION;BPS PRODUÇÕES E SERVIÇOS EIRELI;RJ;FIGURA MEDIA LLC;Estados Unidos;Ficção;10;20/03/2020 a 09/04/2020;Rio de Janeiro (RJ);09/03/2020
Photographer e Street Dance;Ocean Producao de Filmes Ltda;SC;Caviar Paris;França;Obra Publicitária;1;10/03/2020 a 30/03/2020;São Paulo (SP) e Foz do Iguaçu (PR);CANCELADO A PEDIDO DO PROPONENTE
Photographer e Street Dance;Ocean Producao de Filmes Ltda;SC;Caviar Paris;França;Obra Publicitária;2;10/03/2020 a 30/03/2020;São Paulo (SP) e Foz do Iguaçu (PR);CANCELADO A PEDIDO DO PROPONENTE
Our Common Home;Cristian Dimitrius Produções Ltda;SP;Off The Fence;Holanda;Documentário;5;05/04/2020 a 21/04/2020;Guarulhos, Santarem, São Paulo (SP, PA);09/03/2020
VERMILION;BPS PRODUÇÕES E SERVIÇOS EIRELI;RJ;FIGURA MEDIA LLC;Estados Unidos;Ficção;2;20/03/2020 a 09/04/2020;Rio de Janeiro (RJ);10/03/2020
RENO;BPS PRODUÇÕES E SERVIÇOS EIRELI;RJ;PLAYROOM PRODUCTIONS, INC;Estados Unidos;Outro;17;14/03/2020 a 24/03/2020;Rio de Janeiro (RJ);10/03/2020
Photographer e Street Dance;Ocean Producao de Filmes Ltda;SC;Caviar Paris;França;Obra Publicitária;1;10/03/2020 a 30/03/2020;São Paulo (SP) e Foz do Iguaçu (PR);CANCELADO A PEDIDO DO PROPONENTE
Photographer e Street Dance;Ocean Producao de Filmes Ltda;SC;Caviar Paris;França;Obra Publicitária;1;10/03/2020 a 30/03/2020;São Paulo (SP) e Foz do Iguaçu (PR);CANCELADO A PEDIDO DO PROPONENTE
Photographer e Street Dance;Ocean Producao de Filmes Ltda;SC;Caviar Paris;França;Obra Publicitária;1;10/03/2020 a 30/03/2020;São Paulo (SP) e Foz do Iguaçu (PR);CANCELADO A PEDIDO DO PROPONENTE
