CPB;TITULO_ORIGINAL;NUMERO_SALIC
B1900061900000  ;RUMO                                                                                                ;140356           
B1900063700000  ;MUSSUM, UM FILME DO CACILDIS                                                                        ;140517           
B1900064000000  ;MAUÁ, O PRIMEIRO GIGANTE                                                                            ;160656           
B1900066800000  ;ESCOLA DE GÊNIOS - TERCEIRA TEMPORADA                                                               ;170617           
B1900074200000  ;VIDA EM MOVIMENTO                                                                                   ;160128           
B1900075800000  ;MARIA DO CARITÓ                                                                                     ;160077           
B1900076300000  ;REFAVELA 40                                                                                         ;170454           
B1900077800000  ;CREDO, QUE DELÍCIA!                                                                                 ;180707           
B1900089100000  ;AS AVENTURAS DO PEQUENO COLOMBO                                                                     ;170270           
B1900089900000  ;#OFUTUROÉFEMININO                                                                                   ;180949           
B1900092000000  ;JORGINHO GUINLE - SÓ SE VIVE UMA VEZ                                                                ;130457           
B1900092400000  ;REVOLTA DOS MALÊS                                                                                   ;120309           
B1900104200000  ;DE PERNAS PRO AR 3                                                                                  ;170596           
B1900109800000  ;ME DEIXA DANÇAR                                                                                     ;180765           
B1900118200000  ;LIVRE PENSAR - CINEBIOGRAFIA - MARIA DA CONCEIÇÃO TAVARES                                           ;140455           
B1900124500000  ;ALTO LEBLON - 2A TEMPORADA                                                                          ;170494           
B1900131800000  ;BATALHA MAKERS BRASIL                                                                               ;170697           
B1900139400000  ;A HISTÓRIA DE UM SONHO                                                                              ;130478           
B1900147200000  ;SANTOS DE TODOS OS GOLS                                                                             ;120305           
B1900148000000  ;CORA                                                                                                ;150727           
B1900148100000  ;A IRMANDADE                                                                                         ;170271           
B1900153200000  ;CRIMES.COM                                                                                          ;170661           
B1900157600000  ;KARDEC                                                                                              ;130550           
B1900157700000  ;OS RONI - 1ª TEMPORADA                                                                              ;180281           
B1900158600000  ;FÁBRICA DE CASAMENTOS - 3ª TEMPORADA                                                                ;190041           
B1900167100000  ;PEQUENOS GRANDES TALENTOS                                                                           ;170764           
B1900169300000  ;SOB PRESSÃO - 3ªTEMPORADA                                                                           ;180570           
B1900172100000  ;O DOUTRINADOR - SÉRIE                                                                               ;170255           
B1900173400000  ;FRONTEIRAS DO PENSAMENTO                                                                            ;170683           
B1900180000000  ;BOCA DE OURO                                                                                        ;170664           
B1900180100000  ;HEMINGWAY                                                                                           ;170663           
B1900181400000  ;JUACAS - SEGUNDA TEMPORADA                                                                          ;180030           
B1900186100000  ;LUANA É DE LUA                                                                                      ;180352           
B1900188300000  ;A REAÇÃO BRASILEIRA                                                                                 ;140091           
B1900189100000  ;MISSÃO CUPIDO                                                                                       ;120550           
B1900189600000  ;CAXIAS - QUE CIDADE É ESSA?                                                                         ;100405           
B1900190200000  ;RIO HEROES – SEGUNDA TEMPORADA                                                                      ;180251           
B1900205100000  ;FOTOGRAFAÇÃO                                                                                        ;150387           
B1900212200000  ;DOIS                                                                                                ;140495           
B1900222900000  ;GIGABLASTER - PRIMEIRA TEMPORADA                                                                    ;160439           
B1900230300000  ;ICO BIT ZIP - 1ª TEMPORADA                                                                          ;180216           
B1900232500000  ;EM NOME DA JUSTIÇA                                                                                  ;170333           
B1900232600000  ;BACURAU                                                                                             ;130213           
B1900232700000  ;DIVINO AMOR                                                                                         ;170834           
B1900233000000  ;EU SOU BRASILEIRO                                                                                   ;140313           
B1900233200000  ;UMA HISTÓRIA DE AMOR ASSOMBRADO                                                                     ;110212           
B1900233300000  ;EM BUSCA DE CINDERELA                                                                               ;150440           
B1900235500000  ;TURMA DA MÔNICA - LAÇOS                                                                             ;160159           
B1900235800000  ;OS SONÂMBULOS                                                                                       ;140067           
B1900238900000  ;ESCRAVIDÃO - SÉCULO XXI                                                                             ;160257           
B1900241900000  ;A DIVISÃO                                                                                           ;160325           
B1900244900000  ;PROVA DE NOIVA                                                                                      ;160881           
B1900245100000  ;NOVAS ESPÉCIES - A EXPEDIÇÃO DO SÉCULO                                                              ;130322           
B1900245500000  ;ÁGUAS SELVAGENS                                                                                     ;180626           
B1900247200000  ;CRÔNICA DE UMA CIDADE PARTIDA                                                                       ;150464           
B1900251700000  ;A ÁGUA QUE FALTA                                                                                    ;170669           
B1900253800000  ;RELATOS DO FRONT                                                                                    ;170183           
B1900261200000  ;ESCOLA DE GÊNIOS - QUARTA TEMPORADA                                                                 ;180340           
B1900261400000  ;ARQUIS                                                                                              ;170254           
B1900262200000  ;ADONIRAN, MEU NOME É JOÃO RUBINATO                                                                  ;160602           
B1900263500000  ;ROTAS DO ÓDIO - 3ª TEMPORADA                                                                        ;170636           
B1900266500000  ;A EVOLUÇÃO DO COMBATE                                                                               ;180440           
B1900267800000  ;FREI DAMIÃO - O SANTO DO NORDESTE                                                                   ;160763           
B1900271600000  ;SOS FADA MANU (QUARTA TEMPORADA)                                                                    ;170711           
B1900284300000  ;GERAÇÕES DA VELA                                                                                    ;180253           
B1900289200000  ;WEEBOOM                                                                                             ;150163           
B1900303300000  ;QUEBRANDO O TABU - 2ª TEMPORADA                                                                     ;180940           
B1900303600000  ;AMÉRICA ARMADA                                                                                      ;150500           
B1900307100000  ;NO CORAÇÃO DO MUNDO                                                                                 ;130475           
B1900307900000  ;FAZ SOL LÁ SIM                                                                                      ;150160           
B1900308400000  ;O DONO DO LAR                                                                                       ;180620           
B1900314100000  ;ALMA IMORAL                                                                                         ;100474           
B1900319200000  ;CRAQUES PARA SEMPRE                                                                                 ;150395           
B1900321800000  ;LIQUID VOICES - A HISTÓRIA DE MATHILDA SEGALESCU                                                    ;180136           
B1900331000000  ;SELVAGEM                                                                                            ;160573           
B1900336100000  ;DESAFIO DE TALENTOS                                                                                 ;180375           
B1900337200000  ;SE ESSA ROUPA FOSSE MINHA                                                                           ;180240           
B1900341900000  ;MÚSICA PARA MORRER DE AMOR                                                                          ;150063           
B1900343900000  ;AUTÊNTICAS - 2ª TEMPORADA                                                                           ;190147           
B1900344100000  ;NASCIDOS PARA O COMBATE - QUARTA TEMPORADA                                                          ;180348           
B1900345500000  ;TRANSAMAZÔNICA - UMA ESTRADA PARA O PASSADO                                                         ;150447           
B1900347800000  ;PIEDADE                                                                                             ;140103           
B1900347900000  ;FÉRIAS EM FAMÍLIA - 1ª TEMPORADA                                                                    ;181011           
B1900350700000  ;ESPERO TUA (RE)VOLTA                                                                                ;170200           
B1900350800000  ;CANHOTAS                                                                                            ;180071           
B1900350900000  ;BALANGAY: NAS ÁGUAS FILIPINAS                                                                       ;170628           
B1900366600000  ;A VIDA INVISÍVEL                                                                                    ;170803           
B1900371100000  ;ALIMENTANDO O MUNDO                                                                                 ;170645           
B1900373100000  ;SANTOS DUMONT                                                                                       ;160687           
B1900374400000  ;BRASIL DE IMIGRANTES                                                                                ;180899           
B1900375200000  ;VENTOS DO BRASIL                                                                                    ;160809           
B1900376800000  ;BOA NOITE                                                                                           ;150199           
B1900380000000  ;VOU NADAR ATÉ VOCÊ                                                                                  ;120558           
B1900386800000  ;DIVALDO – O MENSAGEIRO DA PAZ                                                                       ;150424           
B1900389300000  ;VIVER PARA LUTAR - TERCEIRA TEMPORADA                                                               ;180347           
B1900389500000  ;JUNGLE PILOT                                                                                        ;140513           
B1900390200000  ;OS RONI - 2ª TEMPORADA                                                                              ;180436           
B1900390400000  ;CALLADO                                                                                             ;160072           
B1900392900000  ;BERTHA LUTZ - A MULHER NA CARTA DA ONU                                                              ;170332           
B1900394800000  ;IMPUROS                                                                                             ;180770           
B1900398400000  ;HEBE - A ESTRELA DO BRASIL                                                                          ;170017           
B1900400900000  ;TE CONTO NO CAMINHO                                                                                 ;180356           
B1900401700000  ;VAI QUE COLA 2 - O COMEÇO                                                                           ;190054           
B1900401800000  ;EM BUSCA DE ANSELMO                                                                                 ;160261           
B1900409100000  ;CARLINHOS E CARLÃO                                                                                  ;160428           
B1900413700000  ;PLANETA PALAVRA                                                                                     ;130299           
B1900415900000  ;A FERA NA SELVA                                                                                     ;100267           
B1900417800000  ;SEGUNDO TEMPO                                                                                       ;130232           
B1900421800000  ;LUCICREIDE VAI PRA MARTE                                                                            ;160593           
B1900429200000  ;SUBMERSOS                                                                                           ;170029           
B1900431000000  ;JUJU BOOT CAMP                                                                                      ;180363           
B1900435600000  ;PORNO PARA PRINCIPIANTES                                                                            ;150483           
B1900439300000  ;TERAPIA DO MEDO                                                                                     ;060137           
B1900439300000  ;TERAPIA DO MEDO                                                                                     ;130402           
B1900442300000  ;ELA DISSE, ELE DISSE                                                                                ;180945           
B1900445000000  ;MAR BRASIL                                                                                          ;170595           
B1900446600000  ;É TETRA                                                                                             ;180260           
B1900447700000  ;TURMA DA MÔNICA JOVEM – 1ª TEMPORADA,                                                               ;160583           
B1900447800000  ;M8                                                                                                  ;140530           
B1900448200000  ;AOS OLHOS DE ERNESTO                                                                                ;130019           
B1900448700000  ;EU SINTO MUITO                                                                                      ;180455           
B1900453000000  ;LINHA DE FRENTE                                                                                     ;170492           
B1900454100000  ;DISTRITO CULTURAL - QUINTA TEMPORADA                                                                ;190255           
B1900454200000  ;VENEZA                                                                                              ;170327           
B1900461100000  ;BUBU E AS CORUJINHAS - 2°TEMPORADA                                                                  ;170339           
B1900463100000  ;FLUXOS                                                                                              ;110499           
B1900468100000  ;VERLUST                                                                                             ;140039           
B1900468200000  ;FEITO TORTO PARA FICAR DIREITO - A SÉRIE                                                            ;150474           
B1900468300000  ;CABRAS DA PESTE                                                                                     ;180318           
B1900477300000  ;JOSÉ APARECIDO DE OLIVEIRA - O MAIOR MINEIRO DO MUNDO                                               ;140229           
B1900478400000  ;INTERVENÇÃO                                                                                         ;180255           
B1900479000000  ;OS SUBURBANOS - O FILME                                                                             ;170298           
B1900486900000  ;UM DIA QUALQUER                                                                                     ;160502           
B1900487100000  ;OS PARÇAS 2                                                                                         ;180287           
B1900489400000  ;BABY & ROSE - 2A TEMPORADA                                                                          ;190235           
B1900489800000  ;BRASIL DE IMIGRANTES ESPECIAL                                                                       ;180206           
B1900493300000  ;MINHA FORTALEZA - OS FILHOS DE FULANO                                                               ;140354           
B1900498800000  ;BATE CORAÇÃO                                                                                        ;120007           
B1900500400000  ;CONTRAPONTO 2                                                                                       ;080212           
B1900500500000  ;OS IRMÃOS FREITAS                                                                                   ;160396           
B1900505000000  ;POP!                                                                                                ;180176           
B1900506600000  ;TUDO NA PANELA                                                                                      ;190163           
B1900507200000  ;QUERÊNCIA                                                                                           ;140484           
B1900508000000  ;PIXINGUINHA, UM HOMEM CARINHOSO                                                                     ;070210           
B1900513800000  ;NÃO VAMOS PAGAR NADA                                                                                ;170737           
B1900524900000  ;MESA PARA TODOS                                                                                     ;170769           
B1900525100000  ;VIOLA E TAMBOR                                                                                      ;180827           
B1900534400000  ;MARIO WALLACE SIMONSEN, ENTRE A MEMÓRIA E A HISTÓRIA                                                ;60323            
B1900535300000  ;VÍTIMAS DIGITAIS                                                                                    ;180403           
B1900536300000  ;FLORES DO CÁRCERE                                                                                   ;170539           
B1900536500000  ;HARD                                                                                                ;170536           
B1900542000000  ;CONEXÕES                                                                                            ;160244           
B1900547900000  ;JORNADA DUPLA                                                                                       ;180202           
B1900548000000  ;#MECHAMADEBRUNA - 4A TEMPORADA                                                                      ;190002           
B1900548300000  ;LIMA BARRETO, AO TERCEIRO DIA                                                                       ;160827           
B1900555000000  ;SEM RASTRO - 3ª TEMPORADA                                                                           ;180951           
B1900564100000  ;AEROPORTO - ÁREA RESTRITA (3ª TEMPORADA)                                                            ;180673           
B1900564800000  ;OPERAÇÃO FRONTEIRA - AMÉRICA DO SUL                                                                 ;180917           
B1900571100000  ;INCOMPATÍVEL                                                                                        ;140294           
B1900571200000  ;GIGABLASTER - SEGUNDA TEMPORADA                                                                     ;160439           
B1900572300000  ;CLUBE DA ANITTINHA - SEGUNDA TEMPORADA                                                              ;180930           
B1900572600000  ;PUREZA                                                                                              ;100353           
B1900576900000  ;MINHA MÃE É UMA PEÇA 3                                                                              ;190176           
B1900577700000  ;FICO TE DEVENDO UMA CARTA SOBRE O BRASIL                                                            ;190106           
B1900578700000  ;HOMENS DO CAMINHO - ROTAS HISTÓRICAS BRASILEIRAS NA COMPANHIA DO MANGALARGA MARCHADOR               ;180270           
B1900582500000  ;RAZÕES PARA NÃO SER MÃE                                                                             ;180898           
B1900583000000  ;SERIAL KELLY                                                                                        ;150110           
B1900583200000  ;CIDADE PÁSSARO                                                                                      ;120381           
B1900588900000  ;MADAME                                                                                              ;160301           
B1900589200000  ;OS SALAFRÁRIOS                                                                                      ;160073           
B1900590800000  ;TRANSVERSAL DO TEMPO                                                                                ;160302           
B1900592900000  ;A DIVISÃO - O FILME                                                                                 ;160239           
B1900593100000  ;O SHOW DA LUNA! SEXTA TEMPORADA                                                                     ;180850           
B1900594800000  ;AMIGAS DE SORTE                                                                                     ;150059           
B1900597300000  ;GLITTER MODEL - UMA AVENTURA CHEIA DE ESTILO                                                        ;180145           
B1900609700000  ;APENAS MENINAS                                                                                      ;170204           
B1900616600000  ;UNIDADE BÁSICA - 2ª TEMPORADA                                                                       ;170455           
B1900618000000  ;MACABRO                                                                                             ;130310           
B1900624500000  ;PELÉ A ORIGEM                                                                                       ;140388           
B2000000500000  ;CHACRINHA O VELHO GUERREIRO                                                                         ;170716           
B2000002500000  ;ESCOLA DE GÊNIOS - QUINTA TEMPORADA                                                                 ;180888           
B2000003500000  ;VIAGEM A QUALQUER CUSTO                                                                             ;190342           
B2000004600000  ;SOLDADOS DA BORRACHA - OS HERÓIS ESQUECIDOS                                                         ;140027           
B2000006000000  ;DE PERTO ELA NÃO É NORMAL                                                                           ;170055           
B2000006000000  ;DE PERTO ELA NÃO É NORMAL                                                                           ;190291           
B2000006500000  ;BABENCO - ALGUÉM TEM QUE OUVIR O CORAÇÃO E DIZER: PAROU                                             ;160177           
B2000006700000  ;MARIGHELLA                                                                                          ;130537           
B2000008400000  ;ENCARCERADOS                                                                                        ;150578           
B2000026600000  ;NA TRILHA DAS BORBOLETAS AZUIS                                                                      ;160414           
B2000028300000  ;GABRIEL MEDINA                                                                                      ;190004           
B2000034100000  ;NO GOGÓ DO PAULINHO                                                                                 ;170712           
B2000034400000  ;ENCANTADEIRAS - O CANTO E O ENCANTO DAS QUEBRADEIRAS DE COCO                                        ;150626           
B2000036900000  ;FÉRIAS EM FAMÍLIA - 2ª TEMPORADA                                                                    ;190155           
B2000038100000  ;BARRETÃO                                                                                            ;140460           
B2000040200000  ;SOLTEIRA QUASE SURTANDO                                                                             ;160029           
B2000041300000  ;O PALESTRANTE                                                                                       ;160225           
B2000042900000  ;ZIMBA                                                                                               ;140360           
B2000043200000  ;LEGADO ITALIANO                                                                                     ;160744           
B2000045000000  ;ROTAS DO ÓDIO – 4ª TEMPORADA                                                                        ;180066           
B2000050700000  ;VOZES DA FLORESTA                                                                                   ;150626           
B2000055300000  ;ENTRE GREVES                                                                                        ;150179           
B2000055900000  ;NA ESTRADA DO JIU-JITSU - 2 TEMPORADA                                                               ;180886           
B2000059800000  ;WILD - REDE SELVAGEM                                                                                ;170641           
B2000065100000  ;UM CONTRA TODOS - QUARTA TEMPORADA                                                                  ;180764           
B2000065400000  ;EM BUSCA DO U-513                                                                                   ;110368           
B2000065800000  ;TARSILINHA                                                                                          ;070508           
B2000067200000  ;BORN TO FASHION                                                                                     ;180384           
B2000070300000  ;DOIS MAIS DOIS                                                                                      ;150358           
B2000072100000  ;GUI E ESTOPA 5ª TEMPORADA                                                                           ;150541           
B2000075900000  ;VIAJO LOGO EXISTO                                                                                   ;170699           
B2000078000000  ;DEPOIS A LOUCA SOU EU                                                                               ;160831           
B2000078100000  ;ONDE O BENEDITO ENCONTRA O CEDROS                                                                   ;140076           
B2000080900000  ;ESPÍRITO DA LUTA 2ª TEMPORADA                                                                       ;160698           
B2000081700000  ;ELA E EU                                                                                            ;140528           
B2000096200000  ;EDUARDO E MÔNICA                                                                                    ;140425           
B2000096300000  ;A MORTE HABITA À NOITE                                                                              ;160485           
B2000096400000  ;SAMBALANÇO - A BOSSA QUE DANÇA                                                                      ;150571           
B2000096500000  ;ACQUA MOVIE                                                                                         ;140447           
B2000097000000  ;ANIMAZOO - SÉRIE TELEVISIVA                                                                         ;160002           
B2000097600000  ;SELVAGEM                                                                                            ;170177           
B2000102100000  ;SENNINHA NA PISTA MALUCA - SEGUNDA TEMPORADA                                                        ;180288           
B2000102800000  ;CORRENDO POR UM SONHO                                                                               ;120394           
B2000110400000  ;BRASIL ÁFRICA - UM ELO NATURAL                                                                      ;120500           
B2000111800000  ;PREDESTINADO: ARIGÓ E O ESPÍRITO DO DR. FRITZ                                                       ;140208           
B2000112600000  ;ARIANO APRESENTA: O AUTO DA BOA MENTIRA                                                             ;160397           
B2000115000000  ;DINHEIRO NOSSO - ORÇAMENTO PÚBLICO E PARTICIPAÇÃO                                                   ;150617           
B2000115500000  ;PORTUÑOL                                                                                            ;160004           
B2000127200000  ;O DONO DO LAR 2ª TEMPORADA                                                                          ;190030           
B2000127500000  ;NADA É POR ACASO                                                                                    ;130268           
B2000142500000  ;UM DIA QUALQUER - SÉRIE                                                                             ;180492           
B2000143100000  ;A DIVISÃO - 2ª TEMPORADA                                                                            ;160466           
B2000155000000  ;O BUSCADOR                                                                                          ;140413           
B2000158900000  ;CHORÃO: MARGINAL ALADO                                                                              ;140269           
B2000162700000  ;IDEIAS PARA O MUNDO                                                                                 ;150550           
B2000163700000  ;AMIGO ARRIGO                                                                                        ;130364           
B2000163800000  ;OS ESPETACULARES                                                                                    ;130275           
B2000172800000  ;DRA. DARCI - 2ª TEMPORADA                                                                           ;190197           
B2000173600000  ;HOMEM ONÇA                                                                                          ;150226           
B2000180800000  ;12 MOEDAS                                                                                           ;170599           
B2000183900000  ;CHACRINHA, EU VIM PARA CONFUNDIR NÃO PARA EXPLICAR                                                  ;170426           
B2000201900000  ;CORPOS PERIFÉRICOS                                                                                  ;170452           
B2000202000000  ;A VERDADE DA MENTIRA                                                                                ;180467           
B2000211700000  ;AUTO POSTO - 1ª TEMPORADA                                                                           ;180925           
B2000227100000  ;MEU QUERIDO SUPERMERCADO                                                                            ;170171           
B2000229200000  ;ESCOLA DE GÊNIOS - SEXTA TEMPORADA                                                                  ;190050           
B2000230700000  ;NAS ONDAS DA FÉ                                                                                     ;140426           
B2000233900000  ;MANGUE BIT                                                                                          ;130487           
B2000234700000  ;A PONTE DE BAMBU                                                                                    ;150257           
B2000243800000  ;FRONTEIRAS DO PENSAMENTO - 2ª TEMPORADA                                                             ;180766           
B2000251400000  ;O RIO DO DESEJO                                                                                     ;140074           
B2000277900000  ;MINHA FAMILIA PERFEITA                                                                              ;140194           
B2000290500000  ;COROANDO                                                                                            ;180141           
B2000295000000  ;AS GRANDES RIVALIDADES DO MMA                                                                       ;180866           
B2000312500000  ;DNA ABDELMASSIH                                                                                     ;170376           
B2000319500000  ;NHEENGATU                                                                                           ;150203           
B2000320300000  ;O SENTIDO DA VIDA                                                                                   ;140347           
B2000322000000  ;QUEM É VOCÊ?                                                                                        ;150649           
B2000323600000  ;CONFISCO                                                                                            ;160226           
B2000327800000  ;ATRAVESSA A VIDA                                                                                    ;180388           
B2000337100000  ;UM PRESENTE À PROVA DE FUTURO                                                                       ;160755           
B2000339200000  ;NAZINHA, OLHAI POR NÓS                                                                              ;150078           
B2000340700000  ;SUJEITO OCULTO                                                                                      ;170157           
B2000361000000  ;GUATÓ: UMA REMADA NO TEMPO                                                                          ;180872           
B2000362200000  ;GUIA POLITICAMENTE INCORRETO II                                                                     ;180234           
B2000365500000  ;ROGAI POR NÓS                                                                                       ;150458           
B2000367000000  ;GAROTA DA MOTO                                                                                      ;170077           
B2000374000000  ;RIO HEAT                                                                                            ;140098           
B2000375600000  ;MANGUEIRA EM 2 TEMPOS                                                                               ;150612           
B2000383500000  ;DRA. DARCI - 3ª TEMPORADA                                                                           ;190198           
B2000397200000  ;O SAMBA É PRIMO DO JAZZ                                                                             ;170422           
B2000402300000  ;ODILON, RÉU DE SI MESMO                                                                             ;170637           
B2000417200000  ;EXTERMINADORES DO ALÉM                                                                              ;170753           
B2000433100000  ;CHICO VENTANA TAMBÉM QUERIA TER UM SUBMARINO                                                        ;145006           
B2000436400000  ;TODOS OS MORTOS                                                                                     ;130141           
B2000440700000  ;DENTE POR DENTE                                                                                     ;170387           
B2000453400000  ;TUCA, O MESTRE CUCA                                                                                 ;170259           
B2000454300000  ;AMARRAÇÃO DO AMOR                                                                                   ;170120           
B2000454900000  ;CIDADES POSSÍVEIS                                                                                   ;180768           
B2000459900000  ;DORIVAL CAYMMI – UM HOMEM DE AFETOS                                                                 ;160133           
B2000461900000  ;PRAZER EM CONHECER                                                                                  ;180828           
B2000462400000  ;SEM MAQUIAGEM                                                                                       ;160556           
B2000468500000  ;DORA E GABRIEL                                                                                      ;150206           
B2000473500000  ;TERRAS TROPICAIS                                                                                    ;180395           
B2000474800000  ;BELEZA GG -SEGUNDA TEMPORADA                                                                        ;180638           
B2000477300000  ;RIR PRA NÃO CHORAR                                                                                  ;200108           
B2000484000000  ;A SOGRA PERFEITA                                                                                    ;181009           
B2000484600000  ;JOVENS GUERREIROS                                                                                   ;190123           
B2000488900000  ;10 HORAS PARA O NATAL                                                                               ;180031           
B2000494000000  ;21 MÃO NA CABEÇA                                                                                    ;140056           
B2000497700000  ;ABE                                                                                                 ;110420           
B2000499400000  ;ACADEMIA DE GIUSEPPE                                                                                ;190410           
B2000502900000  ;QUEM VAI FICAR COM MÁRIO                                                                            ;150521           
B2000513600000  ;UM TIO QUASE PERFEITO 2                                                                             ;180054           
B2000525500000  ;O CLUBE DOS ANJOS                                                                                   ;170144           
B2000526600000  ;+ AMOR                                                                                              ;110417           
B2000531300000  ;ESPETÁCULO - POR TRÁS DAS CORTINAS DO MUSICAL                                                       ;090260           
B2000532000000  ;PACIFIED                                                                                            ;160147           
B2000535600000  ;OS SZAFIRS - 1ª TEMPORADA                                                                           ;180367           
B2000542500000  ;MEU NOME É BAGDÁ                                                                                    ;160145           
B2100010700000  ;LOOP                                                                                                ;187087           
B2100010700000  ;LOOP                                                                                                ;177504           
B2100010700000  ;LOOP                                                                                                ;150660           
B2100016600000  ;NASCIDOS PARA O COMBATE - 5ª TEMPORADA                                                              ;190218           
B2100017700000  ;BOB CUSPE - NÓS NÃO GOSTAMOS DE GENTE                                                               ;130359           
B2100018500000  ;DETETIVES DO PRÉDIO AZUL 3 - UMA AVENTURA NO FIM DO MUNDO                                           ;190142           
B2100027200000  ;JAIR RODRIGUES - DEIXA QUE DIGAM                                                                    ;150357           
B2100036700000  ;O ESPAÇO INFINITO                                                                                   ;150700           
B2100057000000  ;AS NOVAS AVENTURAS DO KAISER                                                                        ;160525           
B2100057900000  ;POR QUE VOCÊ NÃO CHORA?                                                                             ;170350           
B2100062500000  ;COMO ELA FAZ?                                                                                       ;170534           
B2100070100000  ;O SILÊNCIO DA CHUVA                                                                                 ;170134           
B2100072000000  ;LIBELU - ABAIXO A DITADURA                                                                          ;160768           
B2100073300000  ;UMA NOITE ANTES DO NATAL                                                                            ;187329           
B2100074100000  ;IRMÃO DO JOREL - 4ª TEMPORADA                                                                       ;180236           
B2100077600000  ;PAPO MUSICAL                                                                                        ;190232           
B2100103100000  ;DIÁRIO DE VIAGEM                                                                                    ;160430           
B2100112200000  ;NIMBUS, O CAÇADOR DE NUVENS                                                                         ;185014           
B2100113200000  ;L.O.C.A.                                                                                            ;160488           
B2100113300000  ;MIGLIACCIO, O BRASILEIRO EM CENA                                                                    ;200036           
B2100115300000  ;AOS NOSSOS FILHOS                                                                                   ;140017           
B2100115400000  ;TIME DE FÁBRICA                                                                                     ;180320           
B2100131800000  ;MULHERES E HOMENS DA TERRA                                                                          ;150656           
B2100139800000  ;BALANÇO BLACK                                                                                       ;170010           
B2100148700000  ;O RIM DE RILDO                                                                                      ;1862020          
B2100161600000  ;MAIOR QUE O MUNDO                                                                                   ;150632           
B2100167200000  ;AS PORTAS ABERTAS                                                                                   ;140468           
B2100168100000  ;GALERA FC                                                                                           ;180617           
B2100176100000  ;OS AUSENTES                                                                                         ;180554           
B2100179800000  ;OS SZAFIRS - 2ª TEMPORADA                                                                           ;180368           
B2100185000000  ;DIMINUTA                                                                                            ;120076           
