CPB;TITULO_ORIGINAL;NUMERO_SALIC
B0700632300000  ;O PASSAGEIRO-SEGREDOS DE ADULTO                                                                     ;011947           
B0700634700000  ;MEU BEBÊ                                                                                            ;050448           
B0700637600000  ;BRAVA GENTE BRASILEIRA                                                                              ;972000           
B0700638200000  ;O ENGENHO DE ZÉ LINS                                                                                ;050326           
B0700638200000  ;O ENGENHO DE ZÉ LINS                                                                                ;070198           
B0700640600000  ;ONDE A CORUJA DORME                                                                                 ;100069           
B0700641700000  ;A TURMA DA MÔNICA EM UMA AVENTURA NO TEMPO                                                          ;050248           
B0700643600000  ;FAIXA DE AREIA                                                                                      ;030136           
B0700644000000  ;HÉRCULES 56                                                                                         ;050035           
B0700644100000  ;MINHA GRAVIDEZ                                                                                      ;050454           
B0700648000000  ;CAIXA DOIS                                                                                          ;060107           
B0700650300000  ;POLARÓIDES URBANAS                                                                                  ;040250           
B0700650300000  ;POLARÓIDES URBANAS                                                                                  ;099001           
B0700651400000  ;ILUMINADOS                                                                                          ;030229           
B0700652000000  ;CHEIRO DO RALO, O                                                                                   ;040164           
B0700653100000  ;CARTOLA                                                                                             ;000319           
B0700653200000  ;Ó PAÍ, Ó!                                                                                           ;050246           
B0700655500000  ;VIÚVA RICA SOLTEIRA NÃO FICA                                                                        ;049014           
B0700656800000  ;CÃO SEM DONO                                                                                        ;030278           
B0700659300000  ;CAPARAÓ                                                                                             ;050314           
B0700660400000  ;OSCAR NIEMEYER - A VIDA É UM SOPRO                                                                  ;012020           
B0700661700000  ;NÃO POR ACASO                                                                                       ;030137           
B0700664600000  ;GAROTO CÓSMICO                                                                                      ;040162           
B0700670400000  ;JUÍZO                                                                                               ;050064           
B0700670500000  ;ATOS DOS HOMENS                                                                                     ;030264           
B0700676500000  ;HISTÓRIAS DO RIO NEGRO                                                                              ;040349           
B0700676700000  ;A HISTÓRIA DAS TRÊS MARIAS                                                                          ;993410           
B0700678800000  ;5 FRAÇÕES DE UMA QUASE HISTÓRIA                                                                     ;040350           
B0700679600000  ;NOSSA SENHORA DE CARAVAGGIO                                                                         ;023811           
B0700680400000  ;INESQUECIVEL                                                                                        ;030163           
B0700680500000  ;FABRICANDO TOM ZÉ                                                                                   ;030376           
B0700680800000  ;PODE CRER!                                                                                          ;030168           
B0700686200000  ;CRONICAMENTE INVIÁVEL                                                                               ;950607           
