NOME_SALA,REGISTRO_SALA,CNPJ_SALA,SITUACAO_SALA,ASSENTOS_SALA,NOME_COMPLEXO,REGISTRO_COMPLEXO,PAGINA_ELETRONICA_COMPLEXO,ENDERECO_COMPLEXO,NUMERO_ENDERECO_COMPLEXO,COMPLEMENTO_COMPLEXO,BAIRRO_COMPLEXO,MUNICIPIO_COMPLEXO,CEP_COMPLEXO,UF_COMPLEXO,COMPLEXO_ITINERANTE,OPERACAO_USUAL,EXIBIDOR,REGISTRO_EXIBIDOR,CNPJ_EXIBIDOR,SITUACAO_EXIBIDOR,GRUPO_EXIBIDOR
CINE A VITORIA SALA 2,5006714,10.894.937/0020-74,EM FUNCIONAMENTO,212,CINE A VITORIA,49884,www.cinea.com.br,AV JOSE MARIA VIVACQUA SANTOS,400,SALA 230,JD CAMBURI,VITÓRIA,29092-910,ES,NÃO,COMERCIAL,CINE A LTDA,15833,10.894.937/0001-01,REGULAR,CINE A
CINE A VITORIA SALA 3,5006715,10.894.937/0020-74,EM FUNCIONAMENTO,192,CINE A VITORIA,49884,www.cinea.com.br,AV JOSE MARIA VIVACQUA SANTOS,400,SALA 230,JD CAMBURI,VITÓRIA,29092-910,ES,NÃO,COMERCIAL,CINE A LTDA,15833,10.894.937/0001-01,REGULAR,CINE A
CINE A VITORIA SALA 4,5006716,10.894.937/0020-74,EM FUNCIONAMENTO,204,CINE A VITORIA,49884,www.cinea.com.br,AV JOSE MARIA VIVACQUA SANTOS,400,SALA 230,JD CAMBURI,VITÓRIA,29092-910,ES,NÃO,COMERCIAL,CINE A LTDA,15833,10.894.937/0001-01,REGULAR,CINE A
CINE SÃO MATEUS 01,5006773,17.151.166/0001-01,EM FUNCIONAMENTO,234,CINE SÃO MATEUS,50404,www.afacinemas.com.br,Avenida Jose Tozze,1831,Loja 1 Andar ,Centro,SÃO MATEUS,29930-245,ES,NÃO,COMERCIAL,CINE SÃO MATEUS LTDA,24025,17.151.166/0001-01,REGULAR,AFA
CINE SÃO MATEUS 02,5006774,17.151.166/0001-01,EM FUNCIONAMENTO,206,CINE SÃO MATEUS,50404,www.afacinemas.com.br,Avenida Jose Tozze,1831,Loja 1 Andar ,Centro,SÃO MATEUS,29930-245,ES,NÃO,COMERCIAL,CINE SÃO MATEUS LTDA,24025,17.151.166/0001-01,REGULAR,AFA
CINECLUBE GUADALA,5002875,10.807.531/0001-44,EM FUNCIONAMENTO,60,CINECLUBE GUADALA,17305,SEM INFORMAÇÃO,RUA TRINDADE S/N,0,0,JARDIM GUADALAJARA,VILA VELHA,29109-030,ES,NÃO,NÃO COMERCIAL,CINECLUBE GUADALA,17304,10.807.531/0001-44,IRREGULAR,NAO PERTENCE A NENHUM GRUPO EXIBIDOR
CINEMARK VILA VELHA SALA 01,5005217,00.779.721/0072-35,EM FUNCIONAMENTO,305,2117 CINEMARK VILA VELHA,30577,SEM INFORMAÇÃO,RUA LUCIANO DAS NEVES,2418,PV. L2;LUC 2046,DIVINO ESPÍRITO SANTO,VILA VELHA,29107-900,ES,NÃO,COMERCIAL,CINEMARK BRASIL S.A,1843,00.779.721/0001-41,REGULAR,CINEMARK
CINEMARK VILA VELHA SALA 02,5005218,00.779.721/0072-35,EM FUNCIONAMENTO,372,2117 CINEMARK VILA VELHA,30577,SEM INFORMAÇÃO,RUA LUCIANO DAS NEVES,2418,PV. L2;LUC 2046,DIVINO ESPÍRITO SANTO,VILA VELHA,29107-900,ES,NÃO,COMERCIAL,CINEMARK BRASIL S.A,1843,00.779.721/0001-41,REGULAR,CINEMARK
CINEMARK VILA VELHA SALA 03,5005219,00.779.721/0072-35,EM FUNCIONAMENTO,198,2117 CINEMARK VILA VELHA,30577,SEM INFORMAÇÃO,RUA LUCIANO DAS NEVES,2418,PV. L2;LUC 2046,DIVINO ESPÍRITO SANTO,VILA VELHA,29107-900,ES,NÃO,COMERCIAL,CINEMARK BRASIL S.A,1843,00.779.721/0001-41,REGULAR,CINEMARK
CINEMARK VILA VELHA SALA 04,5005220,00.779.721/0072-35,EM FUNCIONAMENTO,198,2117 CINEMARK VILA VELHA,30577,SEM INFORMAÇÃO,RUA LUCIANO DAS NEVES,2418,PV. L2;LUC 2046,DIVINO ESPÍRITO SANTO,VILA VELHA,29107-900,ES,NÃO,COMERCIAL,CINEMARK BRASIL S.A,1843,00.779.721/0001-41,REGULAR,CINEMARK
