,REGISTRO_ANCINE,RAZAO_SOCIAL,EMPRESA_ASSOCIADA
107,22839,ALÔ PRODUÇÃO LTDA,M2 COMUNICAÇÃO LTDA
108,16491,SALA 12 PRODUÇÕES ARTÍSTICAS LTDA,MARIANA B. YOUSSEF FILMES
109,22774,ROMANCE PRODUÇÕES ARTÍSTICAS LTDA,J&M PRODUÇÕES ARTISTICAS LTDA.
110,26011,RAIZ ESTUDIO COMUNICAÇÃO LTDA ME,DANIELLA LAGO LOPES PRODUÇÕES ME
111,45983,EUROCHANNEL BRASIL LICENCIAMENTOS E SERVICOS LTDA,PRIMOS E PRIMOS ADVOCACIA
112,5031,UMAISUM CINEVÍDEO LTDA,MARLON NASCIMENTO DE VARGAS ME
113,48976,MSB EMPREENDIMENTOS DIGITAIS LTDA,MUEVO STUDIO LTDA
114,14964,CASE PUBLICIDADE LTDA - EPP,CASE PRODUÇÃO E PROMOÇÃO CULTURAL EIRELI
115,1874,INTRO PICTURES PRODUÇÕES CINEMATOGRÁFICAS LTDA,INTRO PICTURES AUDIOVISUAL LTDA
116,33038,LENTE MULTIMIDIA LTDA,TICK PRODUÇÕES E MULTIMIDIA LTDA
117,30680,P.NETTO E MEDEIROS LTDA ME,JOÃO JOSE PISTUM NETTO
118,51424,GOLPE DE VISTA FILMES EIRELI,HANGAR FILMES LTDA - ME
119,11793,IMAGINA PRESTAÇÃO DE SERVIÇOS S/C LTDA-ME,HANGAR FILMES LTDA - ME
120,50909,ARTFILMS PRODUCAO AUDIO VISUAL LTDA,FILMART PRODUCAO AUDIO VISUAL EIRELI
121,49408,EBS TENORIO PRODUCOES EIRELI,TENORIO PRODUCOES E GESTAO CULTURAL LTDA - ME
122,38508,AGÊNCIA DE IDEIAS PRODUÇÕES CULTURAIS E EDITORIAIS LTDA - ME,"HOMEM AMARELO PRODUCOES ARTISTICAS, CULTURAIS, CINEMATOGRAFICAS E EDITORIAIS LTDA"
123,3781,FBK COMUNICACAO DIGITAL LTDA,FABRIKA FILMES EIRELI ­ ME
124,15543,US ONE COMERCIO E SERVICOS DE CRIACAO E PRODUCAO DE OBRAS COM DIRETOS AUTORAIS LTDA.,CAMISA TREZE CULTURAL LTDA
125,21148,BLACKBIRD PRODUÇÕES FILMES E VIDEO LTDA.,STUDIO BLACK PRODUÇÕES ARTISTICAS E CINEMATOGRAFICAS EIRELI
126,17628,C.A.V. LEMOS,C A V LEMOS E CIA LTDA - ME
127,17667,INTERVALO PRODUTORA DE VIDEOS LTDA ME,TV BABITONGA LTDA
128,50261,M&L PRODUÇÕES ARTÍSTICAS LTDA,C & C PRODUCOES E SHOWS LTDA
129,26780,CINE FORUM,GÊMEOS DO CINEMA E CULTURA LTDA
130,24117,FAZ CINEMA FILMES LTDA ME,EUMEMO COMUNICAÇÃO LTDA - ME
131,12264,AFA CINEMATOGRÁFICA LTDA ME,CINEMATOGRÁFICA DIVINÓPOLIS EIRELI
132,51424,GOLPE DE VISTA FILMES EIRELI,IMAGINA PRESTAÇÃO DE SERVIÇOS S/C LTDA-ME
133,14568,THOMAS LARSON - ME,LALA PRODUÇÕES ARTÍSTICAS LTDA - ME
134,46535,SETUP PRODUCOES AUDIOVISUAIS LTDA,SETUP FILMES LTDA - ME
135,32715,ASSOCIACAO PRO-ESPORTE E CULTURAL LTDA,BARRACELL PRODUCOES ARTISTICAS LTDA
136,51534,U4HERO DESENVOLVIMENTO DE SOFTWARE LTDA,GARD ENTRETENIMENTO LTDA
137,22049,FILMES DE MINAS LTDA,CAUDA LONGA DISTRIBUIÇÃO E PRODUÇÃO LTDA
138,12136,OCA PRODUÇÕES GRÁFICAS E DESIGN LTDA.,OCA CONTENT PRODUÇÕES S.A.
