,REGISTRO_ANCINE,RAZAO_SOCIAL,EMPRESA_ASSOCIADA
4422,19465,CINE LASER CINEMAS EIRELI,CINE LASER CINEMAS UMUARAMA LTDA
4423,40661,"ALTER CONTENT MÍDIA, CONSULTORIA E PROMOÇÃO DE EVENTOS LTDA ME",T2A PARTICIPAÇÕES LTDA
4424,39768,TAKE4 GESTÃO DE ATIVOS LTDA,T2A PARTICIPAÇÕES LTDA
4425,1316,RBC REDE BRASILEIRA DE COMUNICAÇÃO S/A,MOC COMUNICACAO S/A
4426,21106,CHATO LTDA,GUILHERME FONTES FILMES LTDA
4427,23930,VIRA LATAO PRODUCOES LTDA,VIRA LATA FINALIZACAO EIRELI - ME
4428,28047,EMELI PARTICIPAÇÕES EIRELI,CINE ELI AMAZONAS CINEMAS LTDA
4429,2872,EMPRESA CENTERPLEX DE CINEMAS LTDA,CINE ELI AMAZONAS CINEMAS LTDA
4430,16321,EMPRESA DE CINEMAS FORTALEZA LTDA,CINE ELI AMAZONAS CINEMAS LTDA
4431,421,FUNDACAO ROBERTO MARINHO,FUNDACAO EDUCATIVA DE RADIODIFUSAO FUTURA
4432,41991,ARTEPLEX DISTRIBUIDORA LTDA,CINE COMERCIAL PASSO FUNDO LTDA
4433,32112,WMHD PRODUÇÕES EM ALTA DEFINIÇÃO LTDA,WM HIGH DEFINITION PRODUÇÕES EIRELI
4434,30392,LEMONADE FILMES,LEMONADE HUB LTDA EPP
4435,1911,NACH VÍDEO PRODUÇÕES LTDA,GANESHA PRODUÇÕES ARTÍSTICAS LTDA
4436,37455,FLORIPA FILMES LTDA,GOYTACAZES FILMES LTDA
4437,44834,CINEINTER EXIBICOES CINEMATOGRAFICAS LTDA,GOYTACAZES FILMES LTDA
4438,2977,JUBARTE FILMES LTDA-ME,GOYTACAZES FILMES LTDA
4439,30976,ONSE FILMES LTDA - ME,11 VISUALS PRODUÇÕES DE FILMES LTDA - ME
4440,47328,CINESALA EXIBIÇÕES E EVENTOS LTDA,ARTEPLEX DISTRIBUIDORA LTDA
4441,33919,CARANTO MEDIA LTDA,FILMES ATROÁ CINEMATOGRÁFICA LTDA
4442,32297,APE PRODUÇÕES MUSICAIS LTDA - EPP,"CARAM,BOLZAN E ASCHENBACH PRODUÇÕES ARTÍSTICAS LTDA. - EPP"
4443,22341,A&E OLE AUDIOVISUAL SERVICOS E REPRESENTACOES LTDA.,E! ENTERTAINMENT AUDIOVISUAL SERVIÇOS E REPRESENTAÇÕES LTDA
4444,13458,MAIS FILMES LTDA,ILEGAL FX POS-PRODUCAO AUDIOVISUAL LTDA
4445,21213,PUECH PRODUÇÕES LTDA. ME,EMILIA PRODUÇÕES LTDA-ME
4446,844,VEREDAS COMUNICAÇÃO E ARTE LTDA.,ZABUMBA AUDIOVISUAL E EXPRESSOES CULTURAIS EIRELI
4447,4331,EMEGE PRODUCOES ARTISTICAS LTDA,CIRCUNSTÂNCIA CINEMATOGRÁFICA E PRODUÇÕES ARTÍSTICAS LTDA.
4448,15146,PINHEIRO E PAIVA SERVIÇOS DE COMUNICAÇÃO LTDA,P E P SERVIÇOS DE COMUNICAÇÃO EIRELI - EPP
4449,1,M. ALTBERG CINEMA E VÍDEO LTDA,ASSOCIAÇÃO REVISTA DO CINEMA BRASILEIRO
4450,46376,POSTO 9 ENTRETENIMENTO LTDA.,POSTO 9 PRODUÇÕES ARTÍSTICAS LTDA.
4451,43305,5600K PRODUÇÕES LTDA,CENA 1 PRODUÇÕES LTDA
4452,26263,DANIELA WASSERSTEIN ANGHINAH,DANIELA WASSERSTEIN ANGHINAH
4453,4652,CHROMA COMUNICAÇÃO LTDA,GUABES PRODUÇÕES EIRELI
4454,31741,REDECINE GRANJA VIANNA ADMINISTRADORA SPE LTDA,NETCINE ASSESSORIA DE NEGOCIO E INGRESSOS LTDA
4455,221,FILMES MAIS LTDA,VELUDO CREATIVE FILM COMPANY LTDA
4456,18,INK GERAÇÃO E PRODUÇÃO DE CONTEÚDOS LTDA,VELUDO CREATIVE FILM COMPANY LTDA
4457,35491,TV SOBRAL LTDA.,VOS EDITORA MUSIC ENTRETENIMENTO E COMUNICAÇÃO LTDA.
4458,34755,MATHEUS ARAUJO DE SIQUEIRA 36874630873,EOQHA PRODUCOES LTDA
4459,14193,O2 POS PRODUÇÕES LTDA,O2 FILMES PUBLICITÁRIOS LTDA.
4460,7087,O2 CINEMA LTDA,O2 FILMES PUBLICITÁRIOS LTDA.
4461,22333,E! ENTERTAINMENT AUDIOVISUAL SERVIÇOS E REPRESENTAÇÕES LTDA,NBC UNIVERSAL NETWORKS INTERNATIONAL BRASIL LTDA.
4462,11792,RAIZ DISTRIBUIDORA AUDIOVISUAL LTDA.,RAIZ PRODUÇÕES CINEMATOGRÁFICAS LTDA. ME.
4463,21258,EDITAR SERVIÇOS DE EDIÇÃO DE IMAGENS LTDA - ME,CONFRARIA FILMES LTDA
4464,14283,SCREEN SP FILME E VÍDEO LTDA ME,SCREEN VIDEO PRODUÇÕES LTDA
4465,43157,ROOFTOPAUGUSTA PRODUCAO E COMUNICACAO CULTURAL LTDA,S FILMES PRODUÇÃO LTDA
4466,6422,CINEMA VIDEO SHOW LTDA.,CINE SCALA LTDA
4467,28115,MARCO & MÁRIO PROMOÇÕES ARTÍSTICAS LTDA.,MARIO PRODUCOES ARTISTICAS EIRELI - ME
4468,12061,BRAZUCAH PRODUÇÕES CULTURAIS LTDA-ME,ASSOCIAÇAO CULTURAL SIMBORA
4469,16747,BFX TV COMUNICAÇÃO LTDA,COMUNIX & ETV COMUNICACAO LTDA
4470,21228,MAPA DA CACHAÇA PRODUÇÕES E SERVIÇOS CULTURAIS LTDA,BELA BADERNA PRODUCOES E SERVICOS CULTURAIS LTDA ­ ME
4471,49988,CINEMATOGRÁFICA OURO BRANCO LTDA,CINEMATOGRAFICA CINEMA UBA LTDA
4472,11943,"TOURNAGE PRODUÇÃO, PROPAGANDA E PUBLICIDADE LTDA",BROS FILMES E PROPAGANDA LTDA
4473,31220,PAULO CESAR BRANT ALVIM 06791558644,PAULO CÉSAR BRANT ALVIM
4474,19762,ALER PRODUÇÃO ARTISTICA LTD ME,"ALER PRODUCOES CINEMATOGRAFICAS, ARTISTICAS E TEATRAIS LTDA"
4475,37746,CANAL LIKE PROGRAMAÇÃO LTDA,MTTRAILER PRODUÇÕES CINEMATOGRÁFICAS EIRELI ME
4476,37001,CINEMAS RIBEIRO HENKES BARREIRAS LTDA ME,CINEMAS H RIBEIRO GUANAMBI LTDA
4477,39898,NASCENTE PRODUÇÕES AUDIOVISUAIS LTDA,CÁ ENTRE NÓS PRODUÇÕES
4478,28906,BEND'LEVE FILMES LTDA - ME,BRUNO HENRIQUE DA SILVA PRODUÇÕES
4479,2250,CANNES PRODUÇÕES S/A,CANNES CINEMA S.A
4480,48657,BLACK DOG ESTUDIOS E PRODUTORA LTDA,BLACK DOG ESTUDIOS EIRELI -ME
4481,27002,MISTURA LOUCA PRODUÇOES ARTISTICAS LTDA,JFW CUIDADOS ARTÍSTICOS LTDA - EPP
4482,6547,CANAL E TRANSMISSOES INTERTV LTDA,INTERVISAO EMISSORAS DE RADIO E TELEVISAO LTDA
4483,40666,MARIA LUZIA BORGES DOS SANTOS 62900277191,SB COMUNICAÇÕES LTDA - ME
4484,2606,UCI-ORIENT LTDA,EMPRESA CINE TEATRO TAMOIO LTDA
4485,3136,MSA EMPRESA CINEMATOGRÁFICA LTDA,EMPRESA CINEMATOGRÁFICA ARAUJO LTDA
4486,4404,EMPRESA CINEMATOGRÁFICA CAMPO GRANDE,EMPRESA CINEMATOGRÁFICA ARAUJO LTDA
4487,4262,MARKO PUBLICIDADE E PROPAGANDA LTDA,MARKO COMUNICACAO LTDA
4488,38163,CINE COMERCIAL PASSO FUNDO LTDA,CINEMA VILLAGGIO LTDA
4489,3758,ESPAÇO CULTURAL DE CINEMA DE SALVADOR LTDA,CINEMA VILLAGGIO LTDA
4490,24619,H20 PRODUÇÕES LTDA,H2O DISTRIBUIDORA DE FILMES LTDA
4491,24296,PLANET CINEMAS CARUARU LTDA,H2O DISTRIBUIDORA DE FILMES LTDA
4492,16629,PLANET CINEMAS MACAÉ LTDA,H2O DISTRIBUIDORA DE FILMES LTDA
4493,5252,CINEMATOGRÁFICA GUARAPARI LTDA,VIA SUL CINEMATOGRÁFICA LTDA
4494,14328,F.T. PRODUÇÕES DE FILMES LTDA - EPP,HOBIE - PRODUCAO TELEVISIVA LTDA - ME
4495,3226,CASABLANCA EFEITOS CINEMATOGRÁFICOS LTDA,FIJI PRODUÇÕES AUDIOVISUAIS LTDA
4496,13424,ILEGAL FX POS-PRODUCAO AUDIOVISUAL LTDA,30 PÉS FILMES LTDA.
4497,5715,MAGIA FILMES PRODUÇÕES LTDA,SWEN PRODUCOES LTDA
4498,46323,QUEST FILMES LTDA,RED PHOTO IMAGEM BRASIL LTDA-ME
4499,42267,HALLEY CONTENT PRODUÇÃO CINEMATOGRAFICA LTDA,BIG BANG COMUNICACAO AUDIOVISUAL LTDA
4500,47622,BEZERRA E HEDLER LTDA,ANIMAL FILMES PRODUÇÕES ENTRETENIMENTOS LTDA ME
4501,51018,ELIAS MACHADO ANGICO,SET_5 PRODUTORA LTDA.
4502,11804,NOFOCO FILMES PRODUÇÕES CINEMATOGRAFICAS LTDA,VISÕES PRODUTORA CINEMATOGRÁFICA LTDA
4503,1717,TECH CABLE DO BRASIL SISTEMAS DE TELECOMUNICACOES LTDA,RCA COMPANY DE TELECOMUNICACOES S/A
4504,45886,GF ANDRADE ENTRETENIMENTO E COMÉRCIO LTDA,VICTORY EVENTOS & TURISMO LTDA
4505,32729,HYPER AGENCIA DIGITAL LTDA ME,VDR PRODUCOES DE EVENTOS EIRELI
4506,4370,TELEVISAO SANTA CRUZ LTDA,TELEVISAO BAHIA S.A.
4507,2981,TRIBBO POST FINALIZAÇÃO DE FILMES LIMITADA,TRIBBO PRODUÇÕES CINEMATOGRAFICAS LTDA - EPP
4508,2606,UCI-ORIENT LTDA,UNITED CINEMAS INTERNATIONAL BRASIL LTDA.
4509,30702,ELÃ PRODUÇÕES EIRELI - ME,DAEMON FILMES LTDA ME
4510,45886,GF ANDRADE ENTRETENIMENTO E COMÉRCIO LTDA,GEFA COMERCIO E ENTRETENIMENTO LTDA
4511,35188,LR PRODUÇÕES ARTÍSTICAS LTDA,TAKE4 GESTÃO DE ATIVOS LTDA
4512,36485,BOLZAN E ASCHENBACH EVENTOS LTDA,APE PRODUÇÕES MUSICAIS LTDA - EPP
4513,16970,CAMPO DAS VERTENTES REALIZACOES EM ARTE E CULTURA LTDA,PANSPORT CINEMA E ESPORTE LTDA
4514,1520,ALICE URANO FILMES CONSULTORIA PRODUÇÃO E DISTRIBUIÇÃO LTDA,PANSPORT CINEMA E ESPORTE LTDA
4515,11768,DELICATESSEN - PRODUÇÃO DE FILMES LTDA.,UTLD PRODUCAO DE FIMES LTDA
4516,48333,LADYBIRD PRODUCAO DE FILMES LTDA.,UTLD PRODUCAO DE FIMES LTDA
4517,30860,SERVICOS COMPARTILHADOS DE PRODUCAO DE FILMES LTDA,UTLD PRODUCAO DE FIMES LTDA
4518,48462,SUSTO PRODUÇÃO DE FILMES LTDA,UTLD PRODUCAO DE FIMES LTDA
4519,52249,BANANA'S EVENTOS LTDA,LR ENTRETENIMENTO E PRODUÇÕES ARTÍSTICAS LTDA
4520,3164,AGA - CINEMATOGRÁFICA LTDA,EMPRESA CINEMATOGRÁFICA ESTAÇÃO LTDA
4521,21896,GHETTO PRODUTORA LTDA,ALEXI PRODUCOES ARTISTICAS LTDA
4522,33537,GRUPO ASSOCIATIVO PICOLÉ DA MASSA - DA VÁRZEA DAS ARTES,KEILA DOS SANTOS SERRUYA
4523,32004,MIRALUMO FILMS LTDA,REVOLUTION ENSINO DE ARTES VISUAIS LTDA ­ ME
4524,18069,MARIA FARINHA FILMES E PRODUÇÕES LTDA.,FLOW FILMES LTDA.
4525,37724,"IMERSE PLANEJAMENTO, CRIAÇÃO E PRODUÇÃO DE CONTEÚDO LTDA",ALEXANDRE AGUIAR FILHO 08104645609
4526,23189,ROSA FILMES LTDA - EPP,STORY FILMS PRODUÇÕES LTDA
4527,42726,FERNANDA MARQUEZI EPAMINONDAS DE ALMEIDA MARKETING DIRETO EIRELI,PINHAL & ALMEIDA FILMES E MARKETING DIRETO LTDA - ME
4528,48087,MAURENTE LTDA,MIDIA QUATRO COMUNICAÇÃO ÁUDIO VISUAL LTDA ME
4529,87,PRODIGO FILMS LTDA,INCRÍVEL FILMES PRODUÇÃO DE FILMES LTDA
4530,22729,REDECINE VALINHOS CINEMATOGRÁFICA LTDA,REDECINE GRANJA VIANNA ADMINISTRADORA SPE LTDA
4531,43781,REDECINE PINDAMONHANGABA CINEMAS LTDA,REDECINE GRANJA VIANNA ADMINISTRADORA SPE LTDA
4532,2376,REDECINE TOTAL CINEMATOGRÁFICA LTDA,REDECINE PINDAMONHANGABA CINEMAS LTDA
4533,31741,REDECINE GRANJA VIANNA ADMINISTRADORA SPE LTDA,REDECINE PINDAMONHANGABA CINEMAS LTDA
4534,33595,CARABALLO PRODUTORA AUDIOVISUAL,FORGE SERVICOS DE PRODUCAO CINEMATOGRAFICA LTDA - EPP
4535,3956,PIXTRON COMUNICAÇÃO DIGITAL S/C LTDA,NÉCTAR DIGITAL LTDA. - ME
4536,28047,EMELI PARTICIPAÇÕES EIRELI,CINE ELI SP CINEMAS LTDA
4537,40317,CINE ELI BAHIA CINEMAS LTDA,CINE ELI SP CINEMAS LTDA
4538,41390,CINEMAS H RIBEIRO GUANAMBI LTDA,CINEMAS RIBEIRO HENKES BARREIRAS LTDA ME
4539,44,NBCUNIVERSAL NETWORKS INTERNATIONAL BRASIL PROGRAMADORA S/A,PB BRASIL ENTRETENIMENTO S.A
4540,28464,CINE A MARABA LTDA,CINE A LTDA
4541,1903,TV PONTA VERDE LTDA,TELEVISAO BORBOREMA S/A
4542,12438,UNIPRO EDITORA LTDA,RECORD PRODUÇÕES E GRAVAÇÕES LTDA
4543,662,SERTEL VÍDEO LTDA - ME,VERTICAL VIDEO LTDA - ME
4544,51425,FLF COMUNICACAO EIRELI,"FACHEL, PIERI COM LTDA"
4545,46989,CINE LASER CACOAL EXIBICOES CINEMATOGRAFICAS LTDA,CINE LASER CINEMAS SUL EIRELI
4546,36023,UMBU.TV COMUNICACAO E CULTURA EIRELI ME,CAMBUI PRODUÇOES LTDA ME
4547,51812,ARTE E CRIAÇÃO PRODUTORA AUDIOVISUAL LTDA,ATAMA FILMES PRODUTORA AUDIOVISUAL LTDA ME
4548,5,ZOHAR CINEMA E COMUNICAÇÃO LTDA,ZOHAR CONTENT PRODUCOES LTDA
4549,3200,CONSTELAÇÃO FILMES LTDA,INSPIRAÇÃO FILMES EIRELI
4550,927,ROB FILMES LTDA.,ROB DIGITAL LTDA
4551,44207,HANMAUM S. PRODUÇÕES DISTRIBUIÇÃO E DISTRIBUIÇÃO LTDA,SCRIPT @ FILMES PRODUCOES ARTISTICAS S/S LTDA - ME
4552,50198,GARD ENTRETENIMENTO LTDA,U4HERO DESENVOLVIMENTO DE SOFTWARE LTDA
4553,19234,PLANO B PRODUTORA DE FILMES EIRELI-ME,ONZE CONTEUDO AUDIOVISUAL LTDA EPP
4554,31920,CAMBARA LTDA,CAMBARÁ ATIVIDADES DE PRODUÇÃO CINEMATOGRÁFICA LTDA ME
4555,595,ACADEMIA DE CULTURA,INK GERAÇÃO E PRODUÇÃO DE CONTEÚDOS LTDA
4556,49394,INSTITUTO SOCIAL CULTURAL BRASIL,RIO BONITO PRODUÇÕES LTDA
4557,21759,JOES GARAGE PRODUCOES LTDA,HYBRID COMUNICACAO DIGITAL LTDA
4558,100,RADAR CINEMA E TELEVISÃO LTDA,JOÃO DANIEL FILMES LTDA
4559,49,ART2D2 PRODUÇÕES LTDA,JOÃO DANIEL FILMES LTDA
4560,25666,LEME FILMES E PRODUÇÕES CINEMATOGRAFICAS LTDA,CIMARRON CINE LTDA
4561,37316,A FABRIKA CINEMATOGRAFICA LTDA EPP,PUNKTU LTDA
4562,45776,MESQUITA PRODUÇÕES LTDA,J.C.M. MESQUITA & CIA LTDA
4563,4727,GLOBO COMUNICACAO E PARTICIPACOES S/A,CANAL BRAZIL S/A
4564,5755,EDITORA GLOBO S.A.,CANAL BRAZIL S/A
4565,38508,AGÊNCIA DE IDEIAS PRODUÇÕES CULTURAIS E EDITORIAIS LTDA - ME,AMORA PRODUÇÕES AUDIOVISUAIS LTDA ME
4566,6518,NOVA CONTINENTAL PRODUÇÕES CINEMATOGRÁFICAS LTDA EPP,ESTÚDIO PIXEL MULTIMIDIA LTDA
4567,28341,JOSUE´S CINE UNIVERSITÁRIO LTDA - ME,JONASCE LTDA.- ME
4568,3293,NEWCO PROGRAMADORA E PRODUTORA DE COMUNICACAO LTDA.,COMPANHIA RIO BONITO - COMUNICAÇÕES
4569,656,RADIO E TELEVISAO BANDEIRANTES S.A.,COMPANHIA RIO BONITO - COMUNICAÇÕES
4570,15673,VITOMAQ PRODUÇÕES ARTISTICAS E CINEMA LTDA - ME,CINELUZ CINEMA LTDA
4571,44090,LAGON FILMES LTDA,AAI FILMES LTDA
4572,15368,LATINAMERICA ENTRETENIMENTO INTERNACIONAL LTDA,LATINAMERICA ENTRETENIMENTO LTDA
4573,583,MAURICIO DE SOUSA PRODUÇÕES S.A,RTS EMPREENDIMENTOS E PARTICIPAÇÕES S/A
4574,22922,TMC CRIATIVA DE VIDEO E COMUNICAÇÃO LTDA,TERRAMARCEU PRODUÇÃO ELETRÔNICA LTDA
4575,510,STUDIO ELETRÔNICO ASSESSORIA E PRODUÇÃO DE CINEMA E TELEVISÃO LTDA.,SEQUÊNCIA DOIS PRODUTORA MULTIMÍDIA LTDA.
4576,43252,FABIO COLANERI DEDDING,COOKIE STUDIO LTDA
4577,35257,NNOTURNAA FILMES PRODUÇÕES LTDA-ME,CRISTINA FONSECA CINE VIDEO PRODUÇÕES LTDA-ME
4578,4727,GLOBO COMUNICACAO E PARTICIPACOES S/A,NBCUNIVERSAL NETWORKS INTERNATIONAL BRASIL PROGRAMADORA S.A.
4579,13263,PB BRASIL ENTRETENIMENTO S/A,NBCUNIVERSAL NETWORKS INTERNATIONAL BRASIL PROGRAMADORA S.A.
4580,5755,EDITORA GLOBO S.A.,NBCUNIVERSAL NETWORKS INTERNATIONAL BRASIL PROGRAMADORA S/A
4581,24440,A00 PRODUÇÕES LTDA.,FLAGCX NETWORK PARTICIPAÇÕES LTDA
4582,25340,AB DA SILVA & CIA LTDA - ME,A B DA SILVA
4583,598,LUMEN PRODUCOES LTDA,INSPIRAÇÃO PRODUÇÕES CULTURAIS LTDA
4584,31661,SWINERD ENTRETENIMENTO LTDA,TERRA FIRME ENTRETENIMENTO LTDA
4585,42802,ASSOCIAÇÃO BRASILEIRA DE TELEVISÃO UNIVERSITÁRIA,BML - BROADCAST MEDIA LAB
4586,18143,LIVE MARKETING DE DISSEMINAÇÃO LTDA,MGNT COMUNICAÇÃO LTDA
4587,37299,EDITORA DIGITAL DO BRASIL E ESTUDIO DE ANIMAÇÃO LTDA,DIGITAL DO BRASIL E-COMMERCE LTDA
4588,41281,DIGITAL DO BRASIL PRODUCAO E EDITORA CINEMATOGRAFICA LTDA,DIGITAL DO BRASIL E-COMMERCE LTDA
4589,26665,SWEET SUIT FILMES,MC BULLARA FILMES ME
4590,42548,ESPIRAL LAB COMUNICAÇÃO LTDA,ORION PRODUÇÕES DE FILMES E AUDIO LTDA
4591,2612,UCI RIBEIRO LTDA,SR RIO DE JANEIRO CINEMAS S/A
4592,40732,FOLHA VERDE FILMES LTDA,LUZ & SOMBRA LTDA - ME
4593,24949,SIGNIS CONSULTORIA E MARKETING EMPRESARIAL LTDA.,SB CONSULTORIA E MARKETING LTDA. ME
4594,47328,CINESALA EXIBIÇÕES E EVENTOS LTDA,ESPAÇO DE CINEMA JUIZ DE FORA LTDA
4595,27912,CINEMAS USINA LIBERDADE LTDA,ESPAÇO DE CINEMA JUIZ DE FORA LTDA
4596,3758,ESPAÇO CULTURAL DE CINEMA DE SALVADOR LTDA,ESPAÇO DE CINEMA JUIZ DE FORA LTDA
4597,12958,VEREDA FILMES LTDA,CONSPIRAÇÃO FILMES S/A
4598,31971,MARLETE CELLA,LIDER - PRODUÇÕES E EVENTOS LTDA
4599,12766,RINALDI PRODUÇÕES & PUBLICIDADE LTDA - ME,ON AIR LTDA
4600,19037,XISCOM COMUNICAÇÃO & MARKETING LTDA,CLOSE AUDIOVISUAL LTDA
4601,29583,RENDERFRAME PRODUÇÕES AUDIOVISUAIS LTDA,44 TOONS - PRODUÇÕES ARTÍSTICAS LTDA
4602,34923,44 ENTRETENIMENTO INTERATIVO DESENVOLVIMENTO DE SOFTWARE LTDA.,44 TOONS - PRODUÇÕES ARTÍSTICAS LTDA
4603,29426,TRITÃO PRODUÇÕES EIRELI,HIPERCUBO PRODUCOES DE VIDEOS LTDA
4604,16054,ASSOCIAÇÃO CULTURAL ARTES FLUMINENSE,GUIMARAES FILMES E PRODUCOES LTDA ME
4605,38163,CINE COMERCIAL PASSO FUNDO LTDA,CINEMAS USINA LIBERDADE LTDA
4606,18055,CINEMA VILLAGGIO LTDA,CINEMAS USINA LIBERDADE LTDA
4607,18271,DANIEL DIAS DESING ME,JONATHAN POST FILMES LTDA
4608,13636,O2 FILMES PUBLICITÁRIOS LTDA.,O2 FILMES CURTOS LTDA
4609,27519,SIMONE PINTO BASTOS PRODUÇÕES ME,DEROULL FLORIPA PRODUÇÕES LTDA
4610,2923,EMPRESA CINEMATOGRÁFICA IPATINGA LTDA,CINEMATOGRÁFICA JARAGUÁ LTDA
4611,2914,CINEMATOGRÁFICA PASSOS LTDA,CINEMATOGRÁFICA JARAGUÁ LTDA
4612,48085,WOLF CONNECTION LTDA.,CAIO BUNI GOMES DE SOUZA 33968102878
4613,45780,COOKIE STUDIO LTDA,UNDERDOGS MARKETING DIGITAL E MIDIAS SOCIAIS LTDA
4614,5642,EMPRESA CINEMATOGRÁFICA ITAPETININGA LTDA,CINEPLEX CINEMATOGRAFICA LTDA
4615,45538,AGENCIA WIV LTDA,QUINTAL ESPAÇO DE PRODUCAO LTDA
4616,38562,MACIAS AUDIOVISUAL LTDA - EPP,IDF BRAZIL AUDIOVISUAL LTDA - EPP
4617,51651,LEMONADE LAB LTDA,RAPHAEL FERREIRA RODRIGUEZ 33016859866
4618,43312,JUNGLEBEE PRODUÇÕES AUDIOVISUAIS LTDA.,JUNGLE FILMES LTDA
4619,36835,MARINGONI FILMES - EIRELI,MERGE PRODUÇÃO E FINALIZAÇÃO DE VÍDEOS LTDA
4620,38163,CINE COMERCIAL PASSO FUNDO LTDA,CIRCUITO CINEARTE LTDA
4621,39154,MAR BRASILIS PRODUÇÕES CULTURAIS SUL LTDA,MAR BRASILIS PRODUCOES CULTURAIS LTDA
4622,51948,LIKE 35 ESTUDIOS LTDA,LIKE 35 FILMES LTDE-ME
4623,27058,B&D PRODUÇÕES ARTÍSTICAS LTDA,ANALAGA PRODUÇÕES ARTÍSTICAS LTDA-ME
4624,12774,"POLAR FILMES, EVENTOS CULTURAIS E ARTISTICOS LTDA EPP",MAGNÍFICA EVENTOS CULTURAIS E ARTÍSTICOS LTDA
4625,1229,EMPRESA CINE TEATRO TAMOIO LTDA,ORIENT FILMES - DISTRIBUIDORA DE FILMES LTDA
4626,38091,SOCIALDOCS FILMES DE IMPACTO SOCIAL LTDA - EPP,LEMINISCATA FILMES LTDA-ME
4627,3231,DIGIMAGEM HIGH DEFINITION LTDA EPP,DIGIMAGEM PRODUTORA DE FILMES LTDA
4628,28644,OMJ PRODUCOES AUDIOVISUAIS E COMUNICACAO LTDA,"FUNDACAO DE CULTURA, TURISMO E ESPORTES DE CAMARAG"
4629,44837,REDECINE SANTOS CINEMATOGRAFICA LTDA,REDECINE-CPQ CINEMATOGRÁFICA LTDA
4630,51027,FELIPE J. LIMA DE SOUZA LTDA,FELIPE J LIMA DE SOUZA
4631,4341,ZAP RIO PRETO COMERCIO E VIDEO PRODUÇÕES LTDA - EPP,ZAP MARKETING E PRODUÇÃO DE VÍDEOS LTDA - ME
4632,47692,HUB VFX PRODUCOES LTDA,CLAUDIO CINELLI GOMES DE ALMEIDA
4633,25608,MIGUEL ARCANJO CORRÊA CINEMA - ME,REDE OESTE PAULISTA DE CINEMAS LTDA.
4634,52411,CINE VEREDAS BOULEVARD LTDA,CINEMATOGRAFIA OLIVEIRA LTDA-ME
4635,22559,GM2P PRODUÇÕES ARTÍSTICAS LTDA ME,MACHADO FILMES E PRODUÇÕES E DISTRIBUIÇÃO LTDA
4636,221,FILMES MAIS LTDA,ACADEMIA DE CULTURA
4637,47856,ABDUCAO FILMES LTDA,MARCO ANTONIO PEREIRA DE FREITAS JUNIOR 08928927650
4638,52420,MACHADO FILMES E PRODUÇÕES E DISTRIBUIÇÃO LTDA,BOX COMPANHIA DE ARTE
4639,47328,CINESALA EXIBIÇÕES E EVENTOS LTDA,ESPAÇO DE CINEMA SUL LTDA
4640,27912,CINEMAS USINA LIBERDADE LTDA,ESPAÇO DE CINEMA SUL LTDA
4641,44244,ASMANA FILM PRODUCTION LTDA,J P DE MORAES MONTEIRO PRODUÇÃO CINEMATOGRÁFICA
4642,18,INK GERAÇÃO E PRODUÇÃO DE CONTEÚDOS LTDA,MAIS FILMES LTDA
4643,17463,MARIA TV COMUNICAÇÃO LTDA,IPE PRODUCOES E EVENTOS LTDA
4644,4210,L.R DINIZ PROPAGANDA LTDA,L.R.F VIDEO LTDA
4645,20441,CINE CANASTRA LTDA,JOSUE´S CINE UNIVERSITÁRIO LTDA - ME
4646,100,RADAR CINEMA E TELEVISÃO LTDA,JODAF PRODUÇÕES CINEMATOGRÁFICAS LTDA
4647,5956,LEMONADE PRODUÇÕES ARTÍSTICAS LTDA.,LEMONADE FILMES
4648,33675,CASA FORTE SP PRODUÇÕES ARTÍSTICAS LTDA.,CASA FORTE PRODUÇÕES ARTÍSTICAS LTDA
4649,35188,LR PRODUÇÕES ARTÍSTICAS LTDA,LUCCAS TOON STUDIOS LTDA
4650,25714,UNILEVER BRASIL GELADOS LTDA.,UNILEVER BRASIL LTDA
4651,52611,ORIGEM FILMES LTDA,CONSEQUENCIA FILMES LTDA
4652,14574,RED TERRA STUDIOS LTDA,PURE RED STUDIOS LTDA
4653,15489,NQDR COMUNICAÇÃO LTDA,MOR PRODUÇÕES LTDA ME
4654,29957,"MOSTRA DE CINEMA, CULTURA E EVENTOS LTDA",CINEARTE MORUMBI LTDA
4655,47328,CINESALA EXIBIÇÕES E EVENTOS LTDA,CINEARTE MORUMBI LTDA
4656,18668,TUDO DE BOM PRODUÇÕES LTDA,TUDO DE SOM PRODUÇÕES LTDA
4657,37231,QUINTAL ESPAÇO DE PRODUCAO LTDA,CMP CRIAÇÃO E PRODUÇÃO DE CONTEUDOS DE COMUNICAÇÃO LTDA
4658,17210,BALAIO PRODUCAO DE VIDEO LTDA ME,BALISTA E SANTOS LTDA
4659,18897,GUTS FILMES LTDA - ME,CRISTIANO TREIN
4660,48462,SUSTO PRODUÇÃO DE FILMES LTDA,LADYBIRD PRODUCAO DE FILMES LTDA.
4661,21573,WS PRODUÇÕES CINEMATOGRÁFICAS E ESTÚDIOS LTDA,MASTRO PRODUÇÕES CINEMATOGRAFICAS E ESTUDIOS EIRELI - ME
4662,51992,TODESPLAY PROVEDORES DE CONTEÚDO AUDIOVISUAIS LTDA,ODUN PRODUÇÃO DE BENS CULTURAIS LTDA
4663,51932,FRONT PRODUCAO CINEMATOGRAFICA LTDA,ACELERAI PRODUCAO CINEMATOGRAFICA LTDA
