CPB;TITULO_ORIGINAL;NUMERO_FSA
B1600690600000  ;ERA O HOTEL CAMBRIDGE                                                                               ;00326            
B1600690700000  ;ANGELI THE KILLER                                                                                   ;00161            
B1600698800000  ;NO CAMINHO DO BEM                                                                                   ;00330            
B1600702400000  ;OPÇÃO LAJE                                                                                          ;00367            
B1600702800000  ;GRANDES CENAS                                                                                       ;00384            
B1600708000000  ;FALA COMIGO                                                                                         ;00343            
B1600713500000  ;AS AVENTURAS DE MINUANO KID                                                                         ;00333            
B1600714000000  ;O ÚLTIMO TRAGO                                                                                      ;495              
B1600714000000  ;O ÚLTIMO TRAGO                                                                                      ;388              
B1600715300000  ;MISTÉRIOS DE ENTREVER                                                                               ;00554            
B1600718700000  ;UM FILME DE CINEMA                                                                                  ;00546            
B1600725900000  ;MIXADOS                                                                                             ;00310            
B1600726200000  ;CAVALO DE SANTO - O FILME                                                                           ;00500            
B1600726600000  ;OLIMPÍADAS DA RUA                                                                                   ;00531            
B1600729900000  ;RODA MOINHO, RODA PIÃO, QUERO CULTURA NO MEU PIRÃO                                                  ;458              
B1600730300000  ;AS CANÇÕES DA MINHA VIDA                                                                            ;00353            
B1600738400000  ;MEU CORPO É POLÍTICO                                                                                ;00512            
B1600738500000  ;OS SALTIMBANCOS TRAPALHÕES - RUMO A HOLLYWOOD                                                       ;00802            
B1600739400000  ;SEM VOLTA                                                                                           ;00440            
B1600739700000  ;CHÃO DE FÁBRICA                                                                                     ;00364            
B1600746900000  ;MÚSICA DA MINHA VIDA                                                                                ;00472            
B1600752300000  ;BEDUÍNO                                                                                             ;00363            
B1600754000000  ;GABY ESTRELLA                                                                                       ;00821            
B1600756100000  ;A CIDADE DO FUTURO                                                                                  ;916              
B1600757300000  ;TERRA DE LUZ                                                                                        ;00478            
B1600765300000  ;A OLIMPÍADA PASSOU POR AQUI                                                                         ;00130            
B1600765400000  ;DE MALA E CUIA                                                                                      ;520              
B1600766600000  ;UM MARANHENSE CHAMADO JOSÉ RIBAMAR                                                                  ;00437            
B1600773300000  ;BR 3 - AMORES MIGRANTES                                                                             ;00521            
B1600775400000  ;PLANETORAMA                                                                                         ;112              
B1600779300000  ;NÓIS POR NÓIS                                                                                       ;00504            
B1600784800000  ;SAIDEIRA                                                                                            ;00431            
B1600785000000  ;PRAZER EM RECEBER                                                                                   ;00841            
B1600793600000  ;AS BATALHAS DA FÉ                                                                                   ;00517            
B1700009500000  ;LATITUDE, LONGITUDE                                                                                 ;00295            
B1700011400000  ;MAZAGÃO – PORTA DO MAR                                                                              ;00462            
B1700011500000  ;PEIXONAUTA: O FILME                                                                                 ;00737            
B1700011500000  ;PEIXONAUTA: O FILME                                                                                 ;034210           
B1700011700000  ;MINO E NINA                                                                                         ;00511            
B1700012000000  ;A PROFESSORA DE MÚSICA                                                                              ;00603            
B1700012200000  ;LILA                                                                                                ;00329            
B1700013000000  ;CAFÉ COM CANELA                                                                                     ;00619            
B1700014400000  ;ACEITO FOLIA                                                                                        ;00543            
B1700014500000  ;TADINHA                                                                                             ;00016            
B1700027200000  ;ANIMACRIANÇA - LENDAS BRASILEIRAS                                                                   ;00507            
B1700028400000  ;LAS INESES                                                                                          ;00805            
B1700030900000  ;UM LUGAR PARA CHAMAR DE C. E. U.                                                                    ;00505            
B1700033800000  ;PASSADO DA HORA                                                                                     ;00506            
