CANAL;NR_IDENTIFICACAO;CLASSIFICACAO_CANAL;TIPO_CONTEUDO_CANAL;OFERTA_CLIENTE;DATA_INICIO_OFERTA;DENSIDADE_CANAL;NOME_PROGRAMADORA;CNPJ_PROGRAMADORA;CLASSIFICAO_PROGRAMADORA;PAIS_PROGRAMADORA
MAS CHIC; 6211.30001 ;Canal não adaptado ao mercado brasileiro;Canal de conteúdo em geral;CANAL OFERTADO EM PACOTE;01/08/2005;PADRÃO;AMC NETWORKS LATIN AMERICA LLC;06.147.448/0001-19;Programadora Estrangeira;ESTADOS UNIDOS
MASTER; 20925.30001 ;Canal de programação comum;Canal de conteúdo em geral;CANAL OFERTADO EM PACOTE;04/07/2001;PADRÃO;PREDICIT COMUNICAÇÕES LTDA-ME;03.187.306/0001-97;Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011;BRASIL
MEGAPIX; 39.30012 ;Canal de espaço qualificado;Canal de conteúdo em geral;CANAL OFERTADO EM PACOTE;01/07/2008;PADRÃO;TELECINE PROGRAMACAO DE FILMES LTDA;00.252.848/0001-08;Programadora brasileira de capital estrangeiro;BRASIL
MEGAPIX HD; 39.30013 ;Canal de espaço qualificado;Canal de conteúdo em geral;CANAL OFERTADO EM PACOTE;01/08/2010;ALTA DEFINIÇÃO;TELECINE PROGRAMACAO DE FILMES LTDA;00.252.848/0001-08;Programadora brasileira de capital estrangeiro;BRASIL
MODO VIAGEM; 4727.30017 ;Canal brasileiro de espaço qualificado;Canal de conteúdo em geral;CANAL OFERTADO EM PACOTE;01/01/2020;PADRÃO;GLOBO COMUNICACAO E PARTICIPACOES S/A;27.865.757/0001-02;Programadora brasileira independente;BRASIL
MODO VIAGEM (HD); 4727.30012 ;Canal brasileiro de espaço qualificado;Canal de conteúdo em geral;CANAL OFERTADO EM PACOTE;01/01/2020;ALTA DEFINIÇÃO;GLOBO COMUNICACAO E PARTICIPACOES S/A;27.865.757/0001-02;Programadora brasileira independente;BRASIL
MTV; 6209.30009 ;Canal de espaço qualificado;Canal de conteúdo em geral;CANAL OFERTADO EM PACOTE;01/10/2013;PADRÃO;MTV NETWORKS LATIN AMERICA INC.;;Programadora Estrangeira;ESTADOS UNIDOS
MTV HD; 6209.30011 ;Canal de espaço qualificado;Canal de conteúdo em geral;CANAL OFERTADO EM PACOTE;01/10/2013;ALTA DEFINIÇÃO;MTV NETWORKS LATIN AMERICA INC.;;Programadora Estrangeira;ESTADOS UNIDOS
MTV LIVE HD; 6209.30016 ;Canal não adaptado ao mercado brasileiro;Canal de conteúdo videomusical;CANAL OFERTADO EM PACOTE;15/07/2018;ALTA DEFINIÇÃO;MTV NETWORKS LATIN AMERICA INC.;;Programadora Estrangeira;ESTADOS UNIDOS
MULTISHOW; 4727.30119 ;Canal de espaço qualificado;Canal de conteúdo em geral;CANAL OFERTADO EM PACOTE;01/01/2020;PADRÃO;GLOBO COMUNICACAO E PARTICIPACOES S/A;27.865.757/0001-02;Programadora brasileira independente;BRASIL
MULTISHOW HD; 4727.30021 ;Canal de espaço qualificado;Canal de conteúdo em geral;CANAL OFERTADO EM PACOTE;01/01/2020;ALTA DEFINIÇÃO;GLOBO COMUNICACAO E PARTICIPACOES S/A;27.865.757/0001-02;Programadora brasileira independente;BRASIL
MUSIC BOX BRAZIL; 4744.30003 ;Canal brasileiro de espaço qualificado;Canal de conteúdo videomusical;CANAL OFERTADO EM PACOTE;20/08/2012;PADRÃO;PBI - PROGRAMADORA BRASILEIRA INDEPENDENTE S.A;07.254.174/0001-20;Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011;BRASIL
MUSIC BOX BRAZIL HD; 4744.30004 ;Canal brasileiro de espaço qualificado;Canal de conteúdo videomusical;CANAL OFERTADO EM PACOTE;15/09/2012;ALTA DEFINIÇÃO;PBI - PROGRAMADORA BRASILEIRA INDEPENDENTE S.A;07.254.174/0001-20;Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011;BRASIL
NATIONAL GEOGRAPHIC; 6276.30001 ;Canal de espaço qualificado;Canal de conteúdo em geral;CANAL OFERTADO EM PACOTE;01/01/2000;PADRÃO;TFCF LATIN AMERICAN CHANNEL LLC;;Programadora Estrangeira;ESTADOS UNIDOS
NATIONAL GEOGRAPHIC HD; 6276.30017 ;Canal de espaço qualificado;Canal de conteúdo em geral;CANAL OFERTADO EM PACOTE;02/06/2014;ALTA DEFINIÇÃO;TFCF LATIN AMERICAN CHANNEL LLC;;Programadora Estrangeira;ESTADOS UNIDOS
NICK JR; 6209.30003 ;Canal de espaço qualificado;Canal de conteúdo infantil e adolescente;CANAL OFERTADO EM PACOTE;01/04/2008;PADRÃO;MTV NETWORKS LATIN AMERICA INC.;;Programadora Estrangeira;ESTADOS UNIDOS
NICK JR HD; 6209.30015 ;Canal de espaço qualificado;Canal de conteúdo infantil e adolescente;CANAL OFERTADO EM PACOTE;01/06/2017;ALTA DEFINIÇÃO;MTV NETWORKS LATIN AMERICA INC.;;Programadora Estrangeira;ESTADOS UNIDOS
NICKELODEON; 6209.30001 ;Canal de espaço qualificado;Canal de conteúdo infantil e adolescente;CANAL OFERTADO EM PACOTE;01/12/1996;PADRÃO;MTV NETWORKS LATIN AMERICA INC.;;Programadora Estrangeira;ESTADOS UNIDOS
NICKELODEON HD; 6209.30014 ;Canal de espaço qualificado;Canal de conteúdo infantil e adolescente;CANAL OFERTADO EM PACOTE;17/07/2015;ALTA DEFINIÇÃO;MTV NETWORKS LATIN AMERICA INC.;;Programadora Estrangeira;ESTADOS UNIDOS
NORDESTE FC 1 - HD; 44181.30002 ;Canal de programação comum;Canal de conteúdo esportivo;CANAL À LA CARTE;26/01/2021;ALTA DEFINIÇÃO;LIVEMODE SERVICOS DIGITAIS S.A.;29.037.988/0001-45;Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011;BRASIL
NORDESTE FC 1 - SD; 44181.30001 ;Canal de programação comum;Canal de conteúdo esportivo;CANAL À LA CARTE;26/01/2021;PADRÃO;LIVEMODE SERVICOS DIGITAIS S.A.;29.037.988/0001-45;Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011;BRASIL
NORDESTE FC 2 - HD; 44181.30004 ;Canal de programação comum;Canal de conteúdo esportivo;CANAL À LA CARTE;26/01/2021;ALTA DEFINIÇÃO;LIVEMODE SERVICOS DIGITAIS S.A.;29.037.988/0001-45;Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011;BRASIL
NORDESTE FC 2 - SD; 44181.30003 ;Canal de programação comum;Canal de conteúdo esportivo;CANAL À LA CARTE;26/01/2021;PADRÃO;LIVEMODE SERVICOS DIGITAIS S.A.;29.037.988/0001-45;Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011;BRASIL
NORDESTE FC 3 - HD; 44181.30006 ;Canal de programação comum;Canal de conteúdo esportivo;CANAL À LA CARTE;26/02/2021;ALTA DEFINIÇÃO;LIVEMODE SERVICOS DIGITAIS S.A.;29.037.988/0001-45;Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011;BRASIL
NORDESTE FC 3 - SD; 44181.30005 ;Canal de programação comum;Canal de conteúdo esportivo;CANAL À LA CARTE;26/02/2021;PADRÃO;LIVEMODE SERVICOS DIGITAIS S.A.;29.037.988/0001-45;Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011;BRASIL
NORDESTE FC 4 - HD; 44181.30008 ;Canal de programação comum;Canal de conteúdo esportivo;CANAL À LA CARTE;10/04/2021;ALTA DEFINIÇÃO;LIVEMODE SERVICOS DIGITAIS S.A.;29.037.988/0001-45;Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011;BRASIL
NORDESTE FC 4 - SD; 44181.30007 ;Canal de programação comum;Canal de conteúdo esportivo;CANAL À LA CARTE;10/04/2021;PADRÃO;LIVEMODE SERVICOS DIGITAIS S.A.;29.037.988/0001-45;Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011;BRASIL
NORDESTE FC 5 - HD; 44181.30010 ;Canal de programação comum;Canal de conteúdo esportivo;CANAL À LA CARTE;10/04/2021;ALTA DEFINIÇÃO;LIVEMODE SERVICOS DIGITAIS S.A.;29.037.988/0001-45;Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011;BRASIL
NORDESTE FC 5 - SD; 44181.30009 ;Canal de programação comum;Canal de conteúdo esportivo;CANAL À LA CARTE;10/04/2021;PADRÃO;LIVEMODE SERVICOS DIGITAIS S.A.;29.037.988/0001-45;Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011;BRASIL
NORDESTE FC 6 - HD; 44181.30012 ;Canal de programação comum;Canal de conteúdo esportivo;CANAL À LA CARTE;10/04/2021;ALTA DEFINIÇÃO;LIVEMODE SERVICOS DIGITAIS S.A.;29.037.988/0001-45;Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011;BRASIL
NORDESTE FC 6 - SD; 44181.30011 ;Canal de programação comum;Canal de conteúdo esportivo;CANAL À LA CARTE;10/04/2021;PADRÃO;LIVEMODE SERVICOS DIGITAIS S.A.;29.037.988/0001-45;Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011;BRASIL
NORDESTE FC 7 - HD; 44181.30014 ;Canal de programação comum;Canal de conteúdo esportivo;CANAL À LA CARTE;10/04/2021;ALTA DEFINIÇÃO;LIVEMODE SERVICOS DIGITAIS S.A.;29.037.988/0001-45;Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011;BRASIL
NORDESTE FC 7 - SD; 44181.30013 ;Canal de programação comum;Canal de conteúdo esportivo;CANAL À LA CARTE;10/04/2021;PADRÃO;LIVEMODE SERVICOS DIGITAIS S.A.;29.037.988/0001-45;Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011;BRASIL
NOSSA TV HD; 42149.30002 ;Canal de programação comum;Canal de conteúdo em geral;CANAL OFERTADO EM PACOTE;07/05/2019;ALTA DEFINIÇÃO;COMUNICACAO MOSSOROENSE LTDA;08.626.106/0001-07;;BRASIL
NOSSA TV SD; 42149.30001 ;Canal de programação comum;Canal de conteúdo em geral;CANAL OFERTADO EM PACOTE;07/05/2019;PADRÃO;COMUNICACAO MOSSOROENSE LTDA;08.626.106/0001-07;;BRASIL
NOSSO FUTEBOL HD; 52458.30001 ;Canal de programação comum;Canal de conteúdo esportivo;CANAL OFERTADO EM PACOTE, CANAL À LA CARTE, PAY-PER-VIEW;19/05/2023;ALTA DEFINIÇÃO;TRINTA CONSULTORIA EM ESPORTES LTDA;41.817.089/0001-60;Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011;BRASIL
NOSSO FUTEBOL SD; 52458.30002 ;Canal de programação comum;Canal de conteúdo esportivo;CANAL OFERTADO EM PACOTE, CANAL À LA CARTE, PAY-PER-VIEW;19/05/2023;PADRÃO;TRINTA CONSULTORIA EM ESPORTES LTDA;41.817.089/0001-60;Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011;BRASIL
NOVA TV; 31188.30001 ;Canal de programação comum;Canal de conteúdo em geral;CANAL OFERTADO EM PACOTE;31/08/2016;ALTA DEFINIÇÃO;NOVIDADE TV LTDA ME;13.321.125/0001-65;Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011;BRASIL
