IDENTIFICACAO_CONTRATO,TITULO_PROJETO,CHAMADA_PUBLICA,ANO_CHAMADA_PUBLICA,CNPJ_PROPONENTE,RAZAO_SOCIAL_PROPONENTE,CNPJ_PRODUTORA,RAZAO_SOCIAL_PRODUTORA,CNPJ_DISTRIBUIDORA_PROGRAMADORA,RAZAO_SOCIAL_DISTRIBUIDORA_PROGRAMADORA,DT_PUBLICACAO_CONTRATO_DOU,VL_CONTRATO_DOU,DT_PRIMEIRO_DESEMBOLSO,VL_TOTAL_LIBERADO
DG-01.550,A ÉTICA DAS HIENAS,ARRANJOS REGIONAIS,2014-01-01,10.696.683/0001-17,PULO DO GATO FILMES LTDA,10.696.683/0001-17,PULO DO GATO FILMES LTDA,SEM DISTRIBUIDORA/PROGRAMADORA,SEM DISTRIBUIDORA/PROGRAMADORA,2017-07-26,46667.0,2017-08-07,46667.0
DG-01.544,BOA SORTE VELHO,PRODECINE 02,2016-01-01,07.616.202/0001-01,FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.,09.281.789/0001-70,POPCON PRODUÇÕES LTDA,07.616.202/0001-01,FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.,2017-07-26,3000000.0,2017-08-07,3000000.0
DG-01.448,CAPITU E O CAPÍTULO,PRODAV 05,2015-01-01,02.342.813/0001-95,TB PRODUÇÕES LTDA,02.342.813/0001-95,TB PRODUÇÕES LTDA,SEM DISTRIBUIDORA/PROGRAMADORA,SEM DISTRIBUIDORA/PROGRAMADORA,2017-07-26,100000.0,2017-09-25,100000.0
DG-01.478,CODINOME BRENO,ARRANJOS REGIONAIS,2014-01-01,17.220.694/0001-75,CASU FILMES PRODUÇÕES AUDIOVISUAIS E ENTRETENIMENTO LTDA.-ME,17.220.694/0001-75,CASU FILMES PRODUÇÕES AUDIOVISUAIS E ENTRETENIMENTO LTDA.-ME,SEM DISTRIBUIDORA/PROGRAMADORA,SEM DISTRIBUIDORA/PROGRAMADORA,2017-07-26,33333.33,2017-08-07,33333.33
DG-01.555,"COM A PALAVRA, ARNALDO ANTUNES ",PRODAV 06,2014-01-01,71.743.496/0001-31,MARCELO MACHADO PRODUÇÕES ARTÍSTICAS LTDA - ME,71.743.496/0001-31,MARCELO MACHADO PRODUÇÕES ARTÍSTICAS LTDA - ME,SEM DISTRIBUIDORA/PROGRAMADORA,SEM DISTRIBUIDORA/PROGRAMADORA,2017-07-26,650000.0,2017-08-07,650000.0
DG-01.561,DOLORES,PRODECINE 03,2016-01-01,23.189.788/0001-21,VALKYRIA CINE EIRELI - ME,23.189.788/0001-21,VALKYRIA CINE EIRELI - ME,10.681.698/0001-01,TUCUMÁN DISTRIBUIDORA DE FILMES LTDA,2017-07-26,200000.0,2017-08-08,200000.0
DG-01.430,ESTRADA IRINEU SERRA,PRODAV 05,2015-01-01,15.472.728/0001-93,MAR ILHA PRODUÇÃO E FINALIZAÇÃO LTDA - EPP,15.472.728/0001-93,MAR ILHA PRODUÇÃO E FINALIZAÇÃO LTDA - EPP,SEM DISTRIBUIDORA/PROGRAMADORA,SEM DISTRIBUIDORA/PROGRAMADORA,2017-07-26,100000.0,2017-09-29,100000.0
DG-01.489,NONA,PRODECINE 06,2015-01-01,14.440.714/0001-25,BUBBLES PRODUÇÕES ARTÍSTICAS LTDA,14.440.714/0001-25,BUBBLES PRODUÇÕES ARTÍSTICAS LTDA,11.620.976/0001-83,VITRINE FILMES EIRELI - ME,2017-07-26,250000.0,2017-08-14,250000.0
DG-01.584,OS SALAFRÁRIOS,PRODAV 06,2016-01-01,02.140.164/0001-40,GLAZ ENTRETENIMENTO S.A.,02.140.164/0001-40,GLAZ ENTRETENIMENTO S.A.,07.616.202/0001-01,FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.,2017-07-26,982500.0,2017-08-24,982500.0
DG-01.511,PEDRO,PRODECINE 01,2015-01-01,02.238.621/0001-33,BURITI FILMES LTDA,02.238.621/0001-33,BURITI FILMES LTDA,11.620.976/0001-83,VITRINE FILMES EIRELI - ME,2017-07-26,2000000.0,2017-11-06,2000000.0
