,CPB,TITULO_ORIGINAL,NUMERO_FSA
172,B1500576000000  ,FÁBULAS DE BULCCAN EPISÓDIO PILOTO                                                                  ,4540
173,B1500585100000  ,QUE HORAS ELA VOLTA?                                                                                ,328
174,B1500585400000  ,QUASE MEMÓRIA                                                                                       ,212046600
175,B1500591500000  ,A FLORESTA QUE SE MOVE                                                                              ,213008800
176,B1500593700000  ,SANTO FORTE                                                                                         ,84
177,B1500596800000  ,ARTE ATIVA - O ESTADO DA ARTE NAS RUAS - 1A TEMPORADA                                               ,65
178,B1500634100000  ,SETE VIDAS EM 7 CORDAS                                                                              ,32
179,B1500650100000  ,MERCADOS                                                                                            ,213005800
180,B1500651700000  ,MATE-ME POR FAVOR                                                                                   ,67
181,B1500651700000  ,MATE-ME POR FAVOR                                                                                   ,223
182,B1500659000000  ,RIBANCEIRA                                                                                          ,150
183,B1500660200000  ,FORA DE QUADRO                                                                                      ,76
184,B1500672000000  ,ÓRFÃOS DO ELDORADO                                                                                  ,46
185,B1500701300000  ,OPERAÇÕES ESPECIAIS (EX BOLETIM DE OCORRÊNCIA B.O)                                                  ,318
186,B1500711400000  ,BEATRIZ                                                                                             ,210031200
187,B1500711400000  ,BEATRIZ                                                                                             ,213025200
188,B1500731600000  ,À MODA DA CASA                                                                                      ,305
189,B1500758100000  ,AS AVENTURAS DO HOMEM CUECA                                                                         ,113
190,B1500769700000  ,VIDA DE ESTAGIÁRIO - 2ª TEMPORADA                                                                   ,91
191,B1500778300000  ,S.O.S. MULHERES AO MAR 2                                                                            ,795
192,B1500812200000  ,DOIDAS E SANTAS                                                                                     ,22
193,B1500812200000  ,DOIDAS E SANTAS                                                                                     ,304
194,B1500818400000  ,EM TRÊS ATOS                                                                                        ,307
195,B1500838900000  ,NOTAS DE AMOR                                                                                       ,155
196,B1500843400000  ,ASPIRANTES                                                                                          ,212020100
197,B1500868700000  ,ORAÇÃO DO AMOR SELVAGEM                                                                             ,315
198,B1500870400000  ,VAI QUE DÁ CERTO 2                                                                                  ,317
199,B1500873900000  ,ATRAVÉS DA SOMBRA                                                                                   ,212025800
200,B1500877100000  ,BELATRIX - EPISÓDIO PILOTO                                                                          ,4540
201,B1500883200000  ,"CAPOEIRA, UM PASSO A DOIS                                                                           ",104
202,B1500896100000  ,OS UNDER UNDERGROUNDS - TEMPORADA 1                                                                 ,94
203,B1500899800000  ,REZA A LENDA                                                                                        ,100
204,B1500916300000  ,INSÔNIA                                                                                             ,116
205,B1600003800000  ,CONDOMINIO JAQUELINE                                                                                ,213002000
206,B1600019400000  ,A REVOLUÇÃO DO CINEMA NOVO                                                                          ,97
207,B1600032100000  ,AMOR EM SAMPA                                                                                       ,117
208,B1600033400000  ,MEU AMIGO HINDU                                                                                     ,9503
209,B1600036800000  ,ZOOM                                                                                                ,255
