TITULO_ORIGINAL,PRODUTORA_BRASILEIRA,UF_PRODUTORA_BRASILEIRA,PRODUTORA_ESTRANGEIRA,PAIS_PRODUTORA_ESTRANGEIRA,TIPO_OBRA,TOTAL_TECNICOS_ESTRANGEIROS,LOCAL_FILMAGEM ,DT_APROVACAO,PERIODO_PRODUCAO_INICIO,PERIODO_PRODUCAO_FIM
Planeta Sobrenatural,Cristian Dimitrius Produções Ltda.,SP,Plimsoll Productions Ltd,Reino Unido,Documentário,3,Laguna (SC),2020-06-08,2020-06-15,2020-06-25
Green Seven Report: Der Waldbrand,REBULIÇO AGÊNCIA CULTURAL LTDA,RJ,strandgutmedia GmbH,Alemanha ,Documentário,3,Novo Progresso (PA),2020-07-16,2020-07-22,2020-08-02
A Educação da Vovó,Beleza Nation Conteúdo e Filmes Ltda.,SP,Cineflex Srls,Itália,Ficção,1,Cachoeira (BA),2020-09-12,2020-10-21,2021-03-08
 Unknown Amazon,Amazon Film Productions,AM,CDI Virtual Films INC,Estados Unidos,Documentário,2,"Manaus, Tefé, Santarém, Itaituba e Jacarangá (AM, PA)",2020-09-16,2020-09-19,2020-08-01
The Truth About Coronavirus,VIVA FILMES LTDA. ,RJ,Hardcash Productions,Reino Unido,Documentário,2,Rio de Janeiro (RJ),2020-09-23,2020-09-27,2020-09-30
Titan,Cristian Dimitrius Produções LTDA.,SP,Titan Productions Ltd,Reino Unido,Documentário,3,Aquidauana (MS),2020-10-08,2020-11-04,2020-11-08
Supernatural Planet - parte 2,Cristian Dimitrius Producões,SP,Plimsoll Productions Ltd,Reino Unido,Documentário,3,São Francisco de Guapore (RO),2020-11-10,2020-11-20,2020-12-09
Last of the Giants,Amazon FIlm Productions,AM,CDI Virtual Films INC,Estados Unidos,Documentário,4,Manaus e Jatapu (AM),2020-11-11,2020-11-12,2020-12-21
Animal,Vixe Maria Produções Culturais,SP,Plimsoll Productions,Reino Unido,Documentário,1,Fernando de Noronha (PE),2020-11-12,2020-11-19,2020-12-19
FOGO DE CHAO  Campaign 2021,UARTETO EVENTOS E PRODUÇÕES EIRELI,RJ,Jojx LLC,Estados Unidos,Obra Publicitária,2,São Paulo (SP),2020-11-16,2020-11-27,2020-12-04
Discover True Richness,Stink SP Produção de Filmes Ltda,SP,Stink Hong Kong Limited,China,Obra Publicitária,3,São Paulo (SP),2020-11-19,2020-11-18,2020-11-19
Bitte Melde Dic,Aura Filme Produções Ltda,RJ,Endemol Shine Germany GmbH,Alemanha,Outro,4,"Recife, Olinda, Sairé (PE)",2020-12-30,2020-12-09,2020-12-14
Unknown Amazon,Amazon FIlm Productions,AM,CDI Virtual Films INC,Estados Unidos,Documentário,2,"Manaus (AM), Creporizão (PA), Marechal Thaumaturgo (AC)",2020-12-07,2021-01-08,2021-02-06
