,REGISTRO_ANCINE,CNPJ_EMPRESA,RAZAO_SOCIAL,EMPRESA_ASSOCIADA,CNPJ_EMPRESA_ASSOCIADA
5385,43886,34.540.729/0001-72,DAYANE MENDES ALCANTARA VASCONCELOS,RLSM PROPAGANDA E MARKETING EIRELI,33.318.055/0001-01
5386,27979,19.805.153/0001-34,CARIRI PLEXCINE LTDA,ORIENT FILMES - DISTRIBUIDORA DE FILMES LTDA,14.714.331/0001-06
5387,47614,07.890.184/0001-51,K9 PRODUÇÕES DE VIDEOS EIRELI-ME,REC10 STUDIO LTDA,15.045.049/0001-38
5388,13622,08.744.525/0001-43,BMCOM ASSESSORIA E CONSULTORIA EM COMUNICAÇAO LTDA,FEEL THE MATCH INC LTDA,40.820.093/0001-15
5389,2904,03.387.103/0001-44,CINEPASS CINEMATOGRÁFICA LTDA,MOVIEPASS CINEMATOGRÁFICA LTDA,18.695.259/0001-60
5390,32204,21.673.971/0001-72,ODEON COMPANHIA TEATRAL - EIRELI - ME,INSTITUTO ODEON,02.612.590/0001-39
5391,31135,21.923.650/0001-89,REDECINE LONDRINA CINEMATOGRAFICA LTDA,REDECINE CPQ CINEMATOGRÁFICA LTDA,07.665.262/0001-14
5392,45473,11.084.848/0001-62,CLAUDIO CINELLI GOMES DE ALMEIDA,BRIGITTE PRODUCAO DE FILMES LTDA,37.233.530/0001-90
5393,443,00.943.231/0001-39,PLAYARTE PICTURES ENTRETENIMENTOS LTDA.,PLAYARTE CINEMAS LTDA.,60.434.149/0001-00
5394,52662,48.942.689/0001-08,RTV FILMES LTDA,DANIEL PARRA MALACHIAS,17.868.529/0001-24
5395,306,03.257.178/0001-00,CF FILMES LTDA,CONTEÚDO FILMES PRODUÇÕES AUDIOVISUAIS,22.675.008/0001-90
5396,13458,09.255.824/0001-87,MAIS FILMES LTDA,ACADEMIA DE CULTURA,03.457.922/0001-10
5397,18,68.153.956/0001-67,INK GERAÇÃO E PRODUÇÃO DE CONTEÚDOS LTDA,ACADEMIA DE CULTURA,03.457.922/0001-10
5398,2741,03.623.153/0001-83,VIRAMUNDO CINEMA E PARTICIPAÇÕES LTDA.,ESTAÇÃO CINEMA E CULTURA LTDA,02.745.624/0001-63
5399,621,02.736.355/0001-79,DIGITAL VÍDEO PRODUÇÕES S/C LTDA ME,ALIVE MEDIA CONTENT LTDA,28.840.471/0001-27
5400,27807,57.813.040/0001-70,ENCOURAÇADO FILMES PRODUÇÕES LTDA - ME,ENTRE FILMES PRODUTORA DE CONTEÚDO AUDIOVISUAL LTDA,35.344.906/0001-08
5401,3758,06.953.374/0001-08,ESPAÇO CULTURAL DE CINEMA DE SALVADOR LTDA,ESPAÇO DE CINEMA SUL LTDA,43.713.936/0001-72
5402,2733,02.715.607/0001-83,ESPAÇO DE CINEMA JUIZ DE FORA LTDA,ESPAÇO DE CINEMA SUL LTDA,43.713.936/0001-72
5403,37607,24.078.533/0001-54,RTV PRODUTORA LTDA EPP,RTV DIGITAL LTDA - EPP,24.053.006/0001-95
5404,13622,08.744.525/0001-43,BMCOM ASSESSORIA E CONSULTORIA EM COMUNICAÇAO LTDA,14 AGENCIA DE CONTEUDO ESTRATEGICO LTDA,20.489.684/0001-44
5405,44268,15.385.473/0001-21,THE MOSANER CONTENT LTDA - EPP,THE MOSANER FILMES LTDA - EPP.,11.286.816/0001-40
5406,34841,00.977.351/0001-57,JONASCE LTDA.- ME,JOSUE´S CINE UNIVERSITÁRIO LTDA - ME,21.428.764/0001-52
5407,221,03.435.290/0001-94,FILMES MAIS LTDA,HI-FI FILMES LTDA-ME,09.429.014/0001-08
5408,1879,02.803.873/0001-68,FOCO PRODUÇÕES LTDA,DE VILLE PRODUÇÕES AUDIOVISUAIS LTDA - EPP,13.305.585/0001-08
5409,18354,12.058.717/0001-73,R.T.V. PRODUÇÕES LTDA-EPP,RTV FILMES LTDA,48.942.689/0001-08
5410,18450,12.454.020/0001-11,TITAS EMPREENDIMENTOS ARTÍSTICOS LTDA,MAGNÍFICA PRODUÇÕES LTDA. - EPP,14.436.772/0001-85
5411,38333,22.947.409/0001-52,RAPHAEL FERREIRA RODRIGUEZ 33016859866,LEMONADE FILMES,21.674.572/0001-26
5412,3304,04.287.585/0001-23,CRSM PRODUÇÕES ARTÍSTICAS LTDA.,LUCCAS TOON STUDIOS LTDA,28.485.087/0001-53
5413,39768,28.833.314/0001-94,TAKE4 GESTÃO DE ATIVOS LTDA,LUCCAS TOON STUDIOS LTDA,28.485.087/0001-53
5414,21411,12.951.177/0001-52,VIDA PROPAGANDA CRIACAO E PRODUCAO DE CONTEUDO LTDA,DVP VIDEO PRODUÇÕES LTDA-EPP,03.669.481/0001-10
5415,2733,02.715.607/0001-83,ESPAÇO DE CINEMA JUIZ DE FORA LTDA,CINEARTE MORUMBI LTDA,05.774.116/0001-00
5416,7020,56.927.221/0001-64,WUNDERMAN THOMPSON COMUNICACAO LTDA,OGILVY & MATHER BRASIL COMUNICAÇÃO LTDA,61.067.492/0001-27
5417,50036,42.109.604/0001-10,TOP & L2C PARTICIPAÇÕES CULTURAIS LTDA,DEEP ENTRETENIMENTO LTDA,15.232.433/0001-40
5418,45817,34.702.395/0001-96,MARCOS LOPES DA SILVA,GOGO PRODUCAO DE FILMES LTDA - ME,08.749.924/0001-05
5419,28154,21.244.468/0001-00,FELIPE CELSO BALISTA PRODUÇÃO DE VÍDEO - ME,BALAIO PRODUCAO DE VIDEO LTDA ME,10.924.794/0001-33
5420,50385,43.371.322/0001-50,P & R COMUNICACAO LTDA,VIRALL COMUNICACAO LTDA,09.088.274/0001-59
5421,50685,45.202.167/0001-73,ESPINHA DE BACALHAU CONTEÚDO AUDIOVISUAL LTDA,EMVIDEO EVENTOS AUDIOVISUAIS LTDA,07.071.805/0001-75
5422,38276,27.390.923/0001-53,ULTRAVIOLETA PRODUCAO AUDIOVISUAL LTDA,LADYBIRD PRODUCAO DE FILMES LTDA.,40.001.435/0001-75
5423,48014,37.197.719/0001-74,2MO PRODUÇÕES ARTÍSTICAS LTDA,OLLI PRODUÇÕES ARTÍSTICAS LTDA,27.515.644/0001-79
5424,35063,24.839.978/0001-00,SINOPSIA CONTEÚDO E ASSESSORIA AUDIOVISUAL LTDA-ME,TERRA OCA FILMES LTDA.,18.195.319/0001-85
5425,51394,46.265.076/0001-40,FRONT PRODUCOES E CONTEUDO LTDA,ACELERAI PRODUCAO CINEMATOGRAFICA LTDA,39.753.369/0001-00
5426,23403,16.596.001/0001-80,BROS FILMES E PROPAGANDA LTDA,"TOURNAGE PRODUÇÃO, PROPAGANDA E PUBLICIDADE LTDA",07.047.266/0001-39
5427,16823,11.239.094/0001-72,CINEMA FILMS PRODUÇÕES LTDA,CINEMÁ PRODUÇÕES CINEMATOGRÁFICAS LTDA,68.413.533/0001-39
5428,7061,08.187.584/0001-68,INCRÍVEL FILMES PRODUÇÃO DE FILMES LTDA,SUPER BEBÊ EIRELI - EPP,05.372.777/0001-09
5429,23192,17.086.373/0001-20,HIT MUSIC PRODUTORA LTDA - EPP,TS MUSIC EIRELI-EPP,22.358.971/0001-40
5430,32207,20.991.532/0001-45,ANDREA KURACHI ME,CHARIVARI VIDEO LTDA,14.410.467/0001-14
5431,6062,52.559.671/0001-90,D F F DIANA FOTO FILME E TELECOMUNICACOES LTDA,CASABLANCA EFEITOS CINEMATOGRÁFICOS LTDA,05.097.785/0001-86
5432,1635,05.638.479/0001-00,FIJI PRODUÇÕES AUDIOVISUAIS LTDA,CASABLANCA EFEITOS CINEMATOGRÁFICOS LTDA,05.097.785/0001-86
5433,43819,34.429.702/0001-07,BUTTERFLY FILMES LTDA,MACEDO & MACEDO PRODUÇÃO LTDA - ME,08.358.571/0001-04
5434,3733,29.255.148/0001-59,DREAMVISION FILM AND VIDEO PRODUCTION LTDA,CRYSTAL VISION PRODUCTIONS LTDA,31.887.805/0001-22
5435,22774,13.871.039/0001-26,ROMANCE PRODUÇÕES ARTÍSTICAS LTDA,AUDIOMIX RECORDS E MIDIA LTDA,15.480.339/0001-00
5436,44788,35.165.739/0001-38,VIVIAN FIRMINO AMODIO PRODUCOES LTDA,MH FILMES LTDA - ME,10.572.965/0001-02
5437,15604,08.872.630/0001-68,PIABANHA PRODUÇÕES ARTÍSTICAS LTDA,LAND ESCAPE PRODUÇÕES AUDIOVISUAIS LTDA,31.680.989/0001-55
5438,10,02.020.661/0001-04,CONSPIRAÇÃO FILMES S/A,VEREDA FILMES LTDA,08.741.983/0001-29
5439,41111,07.830.105/0001-17,DIGITAL DO BRASIL E-COMMERCE LTDA,DIGITAL DO BRASIL PRODUCAO E EDITORA CINEMATOGRAFICA LTDA,31.535.157/0001-45
5440,570,05.110.808/0001-45,PIMENTA CINEMA E VIDEO LTDA,MALAGUETA CINEMA E VIDEO LTDA,03.048.443/0001-40
5441,32274,23.146.309/0001-90,ASHA TELECOM EIRELI - ME,ALEXANDRE BRANCO BORGES,33.116.340/0001-31
5442,19643,07.099.197/0001-07,GRÃO FILMES LTDA,GRAO DIGITAL LTDA,44.476.160/0001-87
5443,23916,17.904.679/0001-46,F64 PRODUÇÕES AUDIOVISUAIS LTDA,HAVANA PRODUÇÕES AUDIOVISUAIS EIRELI - ME,25.274.811/0001-01
5444,29965,10.177.252/0001-44,NOVO PALCO EVENTOS E PRODUÇÕES ARTÍSTICAS LTDA - ME,NP EDITORA LTDA - ME,22.763.709/0001-81
5445,26317,10.426.912/0001-83,FOCO 3 - ORGANIZAÇÕES DE EVENTOS E PUBLICIDADE LTDA,FOCO PRODUÇÕES LTDA,12.728.448/0001-05
5446,13123,03.493.590/0001-20,POLO MS CINEMA E VÍDEO LTDA,GRAO FILME PRODUCAO AUDIOVISUAL LTDA,40.240.975/0001-01
