,CPB,TITULO_ORIGINAL,NUMERO_SALIC
291,B0700660400000  ,OSCAR NIEMEYER - A VIDA É UM SOPRO                                                                  ,12020
292,B0700661700000  ,NÃO POR ACASO                                                                                       ,30137
293,B0700664600000  ,GAROTO CÓSMICO                                                                                      ,40162
294,B0700670400000  ,JUÍZO                                                                                               ,50064
295,B0700670500000  ,ATOS DOS HOMENS                                                                                     ,30264
296,B0700676500000  ,HISTÓRIAS DO RIO NEGRO                                                                              ,40349
297,B0700676700000  ,A HISTÓRIA DAS TRÊS MARIAS                                                                          ,993410
298,B0700678800000  ,5 FRAÇÕES DE UMA QUASE HISTÓRIA                                                                     ,40350
299,B0700679600000  ,NOSSA SENHORA DE CARAVAGGIO                                                                         ,23811
300,B0700680400000  ,INESQUECIVEL                                                                                        ,30163
301,B0700680500000  ,FABRICANDO TOM ZÉ                                                                                   ,30376
302,B0700680800000  ,PODE CRER!                                                                                          ,30168
303,B0700686200000  ,CRONICAMENTE INVIÁVEL                                                                               ,950607
304,B0700688200000  ,O MISTÉRIO DA ESTRADA DE SINTRA                                                                     ,59002
305,B0700689500000  ,7 X BOSSA NOVA                                                                                      ,40219
306,B0700691000000  ,O LONGO AMANHECER - CINEBIOGRAFIA DE CELSO FURTADO                                                  ,30202
307,B0700691900000  ,CIDADE DOS HOMENS                                                                                   ,50127
308,B0700692800000  ,O PASSADO                                                                                           ,50211
309,B0700696000000  ,"SANEAMENTO BÁSICO, O FILME                                                                          ",50107
310,B0700701100000  ,O QUADRADO DE JOANA                                                                                 ,50362
311,B0700701800000  ,A ILHA DA MORTE                                                                                     ,12081
312,B0700714700000  ,PRIMO BASÍLIO                                                                                       ,60143
313,B0700714700000  ,PRIMO BASÍLIO                                                                                       ,60280
314,B0700719300000  ,MULHERES SEXO VERDADES E MENTIRAS                                                                   ,60069
315,B0700721300000  ,MUTUM                                                                                               ,60197
316,B0700721300000  ,MUTUM                                                                                               ,79043
317,B0700721300000  ,MUTUM                                                                                               ,40120
318,B0700722200000  ,A CASA DE ALICE                                                                                     ,30338
319,B0700724300000  ,CAMINHO DOS SONHOS                                                                                  ,962425
320,B0700727000000  ,O TABLADO E MARIA CLARA MACHADO                                                                     ,100066
321,B0700735100000  ,HERÓIS DA LIBERDADE                                                                                 ,412
322,B0700746500000  ,A VIA LÁCTEA                                                                                        ,40290
323,B0700748600000  ,O HOMEM QUE DESAFIOU O DIABO                                                                        ,30103
324,B0700749900000  ,ROMANCE DO VAQUEIRO VOADOR                                                                          ,50229
325,B0700752700000  ,DOT.COM                                                                                             ,49001
326,B0700752900000  ,GRUPO CORPO 30 ANOS - UMA FAMÍLIA BRASILEIRA                                                        ,40107
327,B0700757200000  ,ZIRALDO O ETERNO MENINO MALUQUINHO                                                                  ,50156
