,CANAL,NR_IDENTIFICACAO,CLASSIFICACAO_CANAL,TIPO_CONTEUDO_CANAL,OFERTA_CLIENTE,DATA_INICIO_OFERTA,DENSIDADE_CANAL,NOME_PROGRAMADORA,CNPJ_PROGRAMADORA,CLASSIFICAO_PROGRAMADORA,PAIS_PROGRAMADORA
115,FOX SPORTS 2 HD,6276.30013,Canal de programação comum,Canal de conteúdo esportivo,CANAL OFERTADO EM PACOTE,2014-01-01,ALTA DEFINIÇÃO,TFCF LATIN AMERICAN CHANNEL LLC,00.000.000/0000-00,Programadora Estrangeira,ESTADOS UNIDOS
116,FUEL TV,45297.30001,Canal de programação comum,Canal de conteúdo em geral,"CANAL OFERTADO EM PACOTE, CANAL À LA CARTE",2020-10-01,ALTA DEFINIÇÃO,FUEL TV EMEA S.A.,00.000.000/0000-00,Programadora Estrangeira,PORTUGAL
117,FX HD,6276.30016,Canal de espaço qualificado,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,2014-06-02,ALTA DEFINIÇÃO,TFCF LATIN AMERICAN CHANNEL LLC,00.000.000/0000-00,Programadora Estrangeira,ESTADOS UNIDOS
118,GEN TV,37493.30001,Canal de programação comum,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,2017-08-01,PADRÃO,TV SUL BRASIL LTDA ME,85.340.941/0001-27,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",BRASIL
119,GLOBO NEWS,4727.30002,Canal de programação comum,Canal de conteúdo jornalístico,CANAL OFERTADO EM PACOTE,1996-10-15,PADRÃO,GLOBO COMUNICACAO E PARTICIPACOES S/A,27.865.757/0001-02,Programadora brasileira independente,BRASIL
120,GLOBO NEWS HD,4727.30003,Canal de programação comum,Canal de conteúdo jornalístico,CANAL OFERTADO EM PACOTE,2013-02-03,ALTA DEFINIÇÃO,GLOBO COMUNICACAO E PARTICIPACOES S/A,27.865.757/0001-02,Programadora brasileira independente,BRASIL
121,GLOOB,4727.30005,Canal de espaço qualificado,Canal de conteúdo infantil e adolescente,CANAL OFERTADO EM PACOTE,2020-01-01,PADRÃO,GLOBO COMUNICACAO E PARTICIPACOES S/A,27.865.757/0001-02,Programadora brasileira independente,BRASIL
122,GLOOB (EM HD),4727.30018,Canal de espaço qualificado,Canal de conteúdo infantil e adolescente,CANAL OFERTADO EM PACOTE,2020-01-01,ALTA DEFINIÇÃO,GLOBO COMUNICACAO E PARTICIPACOES S/A,27.865.757/0001-02,Programadora brasileira independente,BRASIL
123,GLOOBINHO,4727.30095,Canal de espaço qualificado,Canal de conteúdo infantil e adolescente,CANAL OFERTADO EM PACOTE,2020-01-01,ALTA DEFINIÇÃO,GLOBO COMUNICACAO E PARTICIPACOES S/A,27.865.757/0001-02,Programadora brasileira independente,BRASIL
124,GNT,4727.30006,Canal de espaço qualificado,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,2020-01-01,PADRÃO,GLOBO COMUNICACAO E PARTICIPACOES S/A,27.865.757/0001-02,Programadora brasileira independente,BRASIL
